Promedio horarios de no2Promedio horarios de no2
Fecha,Hora,ACO,AJU,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-12-2005,1,nr,nr,24,57,nr,nr,47,nr,nr,nr,nr,nr,49,nr,nr,58,nr,nr,47,nr,37,46,45,nr,nr,45,46,nr,40,nr,nr,53,nr,nr,51,43,43,
01-12-2005,2,nr,nr,18,47,nr,nr,40,nr,nr,nr,nr,nr,32,nr,nr,57,nr,nr,46,nr,24,43,42,nr,nr,46,34,nr,41,nr,nr,52,nr,nr,46,42,36,
01-12-2005,3,nr,nr,15,37,nr,nr,38,nr,nr,nr,nr,nr,19,nr,nr,55,nr,nr,45,nr,16,40,44,nr,nr,45,29,nr,38,nr,nr,48,nr,nr,46,40,36,
01-12-2005,4,nr,nr,14,38,nr,nr,36,nr,nr,nr,nr,nr,24,nr,nr,47,nr,nr,43,nr,15,33,44,nr,nr,43,25,nr,31,nr,nr,47,nr,nr,41,36,40,
01-12-2005,5,nr,nr,22,43,nr,nr,34,nr,nr,nr,nr,nr,21,nr,nr,53,nr,nr,42,nr,13,26,40,nr,nr,40,27,nr,33,nr,nr,44,nr,nr,40,33,39,
01-12-2005,6,nr,nr,37,43,nr,nr,34,nr,nr,nr,nr,nr,34,nr,nr,55,nr,nr,43,nr,16,54,39,nr,nr,40,40,nr,36,nr,nr,42,nr,nr,41,31,38,
01-12-2005,7,nr,nr,42,45,nr,nr,37,nr,nr,nr,nr,nr,37,nr,nr,58,nr,nr,44,nr,34,47,37,nr,nr,40,44,nr,37,nr,nr,46,nr,nr,41,29,48,
01-12-2005,8,nr,nr,47,48,nr,nr,42,nr,nr,nr,nr,nr,45,nr,nr,61,nr,nr,46,nr,49,47,43,nr,nr,46,47,nr,37,nr,nr,45,nr,nr,51,31,40,
01-12-2005,9,nr,nr,58,60,nr,nr,69,nr,nr,nr,nr,nr,58,nr,nr,85,nr,nr,62,nr,74,78,55,nr,nr,64,67,nr,64,nr,nr,51,nr,nr,57,36,73,
01-12-2005,10,nr,nr,66,72,nr,nr,111,nr,nr,nr,nr,nr,69,nr,nr,136,nr,nr,91,nr,100,116,56,nr,nr,90,68,nr,114,nr,nr,53,nr,nr,83,28,99,
01-12-2005,11,nr,nr,31,80,nr,nr,108,nr,nr,nr,nr,nr,59,nr,nr,142,nr,nr,112,nr,95,nr,54,nr,nr,97,42,nr,138,nr,nr,34,nr,nr,85,19,73,
01-12-2005,12,nr,nr,nr,49,nr,nr,68,nr,nr,nr,nr,nr,33,nr,nr,nr,nr,nr,95,nr,52,nr,nr,nr,nr,82,52,nr,116,nr,nr,24,nr,nr,55,14,60,
01-12-2005,13,nr,nr,nr,45,nr,nr,57,nr,nr,nr,nr,nr,34,nr,nr,nr,nr,nr,36,nr,38,nr,nr,nr,nr,59,39,nr,73,nr,nr,11,nr,nr,37,12,32,
01-12-2005,14,nr,nr,nr,33,nr,nr,34,nr,nr,nr,nr,nr,29,nr,nr,nr,nr,nr,24,nr,49,nr,18,nr,nr,36,34,nr,59,nr,nr,10,nr,nr,21,10,32,
01-12-2005,16,nr,nr,17,25,nr,nr,22,nr,nr,nr,nr,nr,21,nr,nr,34,nr,nr,44,nr,nr,37,13,nr,nr,28,30,nr,72,nr,nr,13,nr,nr,25,8,30,
01-12-2005,17,nr,nr,16,27,nr,nr,22,nr,nr,nr,nr,nr,16,nr,nr,42,nr,nr,60,nr,nr,35,13,nr,nr,41,31,nr,83,nr,nr,10,nr,nr,25,10,48,
01-12-2005,18,nr,nr,21,47,nr,nr,25,nr,nr,nr,nr,nr,29,nr,nr,67,nr,nr,nr,nr,62,39,28,nr,nr,55,43,nr,98,nr,nr,23,nr,nr,56,14,55,
01-12-2005,19,nr,nr,25,50,nr,nr,52,nr,nr,nr,nr,nr,42,nr,nr,68,nr,nr,64,nr,86,58,39,nr,nr,86,45,nr,93,nr,nr,24,nr,nr,52,19,51,
01-12-2005,20,nr,nr,37,44,nr,nr,58,nr,nr,nr,nr,nr,40,nr,nr,57,nr,nr,53,nr,57,52,39,nr,nr,60,39,nr,61,nr,nr,31,nr,nr,42,20,42,
01-12-2005,21,nr,nr,43,52,nr,nr,52,nr,nr,nr,nr,nr,35,nr,nr,61,nr,nr,nr,nr,63,55,41,nr,nr,58,48,nr,58,nr,nr,37,nr,nr,52,19,42,
01-12-2005,22,nr,nr,42,49,nr,nr,59,nr,nr,nr,nr,nr,24,nr,nr,60,nr,nr,48,nr,61,46,39,nr,nr,60,44,nr,63,nr,nr,38,nr,nr,59,23,51,
01-12-2005,23,nr,nr,26,49,nr,nr,54,nr,nr,nr,nr,nr,22,nr,nr,60,nr,nr,51,nr,53,39,37,nr,nr,55,39,nr,59,nr,nr,28,nr,nr,59,21,51,
01-12-2005,24,nr,nr,27,44,nr,nr,44,nr,nr,nr,nr,nr,14,nr,nr,54,nr,nr,44,nr,47,26,31,nr,nr,44,36,nr,53,nr,nr,21,nr,nr,55,15,53,
