Promedio horarios de pm2Promedio horarios de pm2
Fecha,Hora,ACO,AJU,ATI,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LLA,LPR,MER,NEZ,PED,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-11-2006,1,nr,nr,nr,29,nr,nr,nr,21,nr,nr,nr,nr,nr,nr,nr,28,nr,nr,18,nr,4,nr,nr,nr,24,nr,nr,nr,17,nr,nr,
01-11-2006,2,nr,nr,nr,28,nr,nr,nr,13,nr,nr,nr,nr,nr,nr,nr,25,nr,nr,16,nr,25,nr,nr,nr,13,nr,nr,nr,22,nr,nr,
01-11-2006,3,nr,nr,nr,22,nr,nr,nr,11,nr,nr,nr,nr,nr,nr,nr,14,nr,nr,18,nr,20,nr,nr,nr,17,nr,nr,nr,18,nr,nr,
01-11-2006,4,nr,nr,nr,38,nr,nr,nr,18,nr,nr,nr,nr,nr,nr,nr,27,nr,nr,19,nr,19,nr,nr,nr,17,nr,nr,nr,28,nr,nr,
01-11-2006,5,nr,nr,nr,35,nr,nr,nr,28,nr,nr,nr,nr,nr,nr,nr,25,nr,nr,17,nr,22,nr,nr,nr,16,nr,nr,nr,33,nr,nr,
01-11-2006,6,nr,nr,nr,36,nr,nr,nr,23,nr,nr,nr,nr,nr,nr,nr,30,nr,nr,16,nr,20,nr,nr,nr,14,nr,nr,nr,29,nr,nr,
01-11-2006,7,nr,nr,nr,36,nr,nr,nr,18,nr,nr,nr,nr,nr,nr,nr,39,nr,nr,15,nr,34,nr,nr,nr,19,nr,nr,nr,33,nr,nr,
01-11-2006,8,nr,nr,nr,31,nr,nr,nr,20,nr,nr,nr,nr,nr,nr,nr,48,nr,nr,18,nr,25,nr,nr,nr,26,nr,nr,nr,34,nr,nr,
01-11-2006,9,nr,nr,nr,38,nr,nr,nr,22,nr,nr,nr,nr,nr,nr,nr,47,nr,nr,25,nr,32,nr,nr,nr,nr,nr,nr,nr,40,nr,nr,
01-11-2006,10,nr,nr,nr,31,nr,nr,nr,36,nr,nr,nr,nr,nr,nr,nr,56,nr,nr,30,nr,48,nr,nr,nr,38,nr,nr,nr,44,nr,nr,
01-11-2006,11,nr,nr,nr,52,nr,nr,nr,54,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,30,nr,36,nr,nr,nr,41,nr,nr,nr,54,nr,nr,
01-11-2006,12,nr,nr,nr,53,nr,nr,nr,55,nr,nr,nr,nr,nr,nr,nr,57,nr,nr,28,nr,34,nr,nr,nr,nr,nr,nr,nr,59,nr,nr,
01-11-2006,13,nr,nr,nr,47,nr,nr,nr,56,nr,nr,nr,nr,nr,nr,nr,52,nr,nr,26,nr,46,nr,nr,nr,nr,nr,nr,nr,65,nr,nr,
01-11-2006,14,nr,nr,nr,33,nr,nr,nr,35,nr,nr,nr,nr,nr,nr,nr,43,nr,nr,26,nr,39,nr,nr,nr,33,nr,nr,nr,52,nr,nr,
