Promedio horarios de coPromedio horarios de co
Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-05-2007,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.30,nr,1.3,nr,1.6,nr,nr,0.90,nr,0.50,0.7,1.10,nr,nr,0.9,nr,nr,1.4,nr,1.50,1.30,nr,nr,0.50,nr,0.60,1.00,
01-05-2007,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.10,nr,1.3,nr,1.3,nr,nr,0.70,nr,0.50,0.7,0.90,nr,nr,0.7,nr,nr,1.0,nr,1.10,1.20,nr,nr,0.40,nr,0.50,0.40,
01-05-2007,3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.00,nr,1.2,nr,1.1,nr,nr,0.80,nr,0.50,0.6,1.00,nr,nr,0.4,nr,nr,0.6,nr,1.00,1.10,nr,nr,0.30,nr,0.40,0.40,
01-05-2007,4,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.00,nr,1.1,nr,1.1,nr,nr,0.70,nr,0.60,0.5,0.90,nr,nr,0.4,nr,nr,0.5,nr,1.40,1.20,nr,nr,0.10,nr,0.20,1.00,
01-05-2007,5,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.20,nr,1.0,nr,1.1,nr,nr,1.00,nr,0.60,0.3,1.50,nr,nr,0.6,nr,nr,1.8,nr,1.40,1.10,nr,nr,0.60,nr,0.40,1.40,
01-05-2007,6,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.20,nr,1.1,nr,1.7,nr,nr,1.80,nr,1.30,0.9,1.80,nr,nr,1.1,nr,nr,1.2,nr,1.70,1.20,nr,nr,1.30,nr,0.50,2.10,
01-05-2007,7,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.50,nr,1.6,nr,2.2,nr,nr,2.40,nr,1.60,1.2,2.90,nr,nr,1.7,nr,nr,1.5,nr,2.20,1.20,nr,nr,1.90,nr,1.00,1.60,
01-05-2007,8,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,2.50,nr,2.5,nr,2.3,nr,nr,2.70,nr,1.40,1.5,2.50,nr,nr,1.3,nr,nr,1.4,nr,2.80,1.50,nr,nr,1.00,nr,1.50,0.80,
01-05-2007,9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.30,nr,1.4,nr,2.5,nr,nr,2.20,nr,1.00,1.6,1.40,nr,nr,0.9,nr,nr,1.6,nr,1.90,1.60,nr,nr,0.40,nr,0.90,0.80,
01-05-2007,10,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.30,nr,1.3,nr,2.2,nr,nr,1.40,nr,1.50,1.3,1.10,nr,nr,1.2,nr,nr,2.4,nr,1.40,1.20,nr,nr,0.70,nr,0.80,0.60,
01-05-2007,11,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,1.10,nr,0.7,nr,1.3,nr,nr,0.80,nr,1.20,1.2,0.80,nr,nr,0.9,nr,nr,1.8,nr,1.00,0.90,nr,nr,0.50,nr,0.30,0.40,
