Promedio horarios de o3Promedio horarios de o3
Fecha,Hora,ACO,AJU,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-06-2008,1,29,nr,nr,26,nr,nr,20,15,9,25,33,nr,31,nr,25,21,nr,nr,21,nr,22,23,28,nr,nr,23,25,18,15,nr,15,nr,13,nr,18,nr,16,
01-06-2008,2,25,nr,nr,27,nr,nr,19,10,7,20,35,nr,25,nr,20,11,nr,nr,17,nr,11,21,31,nr,nr,19,23,20,14,nr,17,nr,10,nr,20,nr,15,
01-06-2008,3,20,nr,nr,22,nr,nr,9,2,1,16,36,nr,20,nr,16,5,nr,nr,9,nr,9,16,29,nr,nr,17,19,15,10,nr,14,nr,11,nr,7,nr,18,
01-06-2008,4,20,nr,nr,21,nr,nr,5,0,0,16,20,nr,19,nr,10,4,nr,nr,6,nr,13,11,23,nr,nr,8,14,11,2,nr,13,nr,9,nr,11,nr,18,
01-06-2008,5,14,nr,nr,15,nr,nr,5,1,0,9,21,nr,18,nr,6,3,nr,nr,4,nr,14,8,19,nr,nr,9,8,11,1,nr,9,nr,11,nr,9,nr,11,
01-06-2008,6,nr,nr,nr,14,nr,nr,1,0,0,7,25,nr,10,nr,3,0,nr,nr,2,nr,11,4,14,nr,nr,6,5,7,1,nr,5,nr,11,nr,3,nr,1,
01-06-2008,7,8,nr,nr,13,nr,nr,2,2,0,6,14,nr,6,nr,6,1,nr,nr,3,nr,8,3,5,nr,nr,5,3,10,2,nr,6,nr,10,nr,4,nr,2,
01-06-2008,8,18,nr,nr,18,nr,nr,8,14,7,19,37,nr,23,nr,11,9,nr,nr,6,nr,20,12,13,nr,nr,16,14,17,8,nr,10,nr,22,nr,14,nr,13,
01-06-2008,9,36,nr,nr,33,nr,nr,20,31,25,30,45,nr,37,nr,26,18,nr,nr,19,nr,28,29,31,nr,nr,29,33,27,17,nr,16,nr,35,nr,26,nr,24,
01-06-2008,10,45,nr,nr,39,nr,nr,40,46,43,46,52,nr,50,nr,42,36,nr,nr,35,nr,45,44,45,nr,nr,44,42,46,29,nr,33,nr,45,nr,46,nr,45,
01-06-2008,11,47,nr,nr,56,nr,nr,53,56,63,56,59,nr,58,nr,61,59,nr,nr,57,nr,57,49,49,nr,nr,59,51,68,41,nr,51,nr,54,nr,62,nr,46,
01-06-2008,12,51,nr,nr,80,nr,nr,73,60,82,77,66,nr,62,nr,81,68,nr,nr,65,nr,65,61,57,nr,nr,72,69,85,57,nr,62,nr,nr,nr,85,nr,47,
01-06-2008,13,52,nr,nr,78,nr,nr,69,58,81,78,78,nr,73,nr,71,63,nr,nr,61,nr,82,79,57,nr,nr,86,78,89,61,nr,57,nr,84,nr,77,nr,48,
01-06-2008,14,51,nr,nr,69,nr,nr,64,55,71,72,88,nr,68,nr,66,61,nr,nr,53,nr,78,69,51,nr,nr,74,65,83,49,nr,59,nr,86,nr,72,nr,49,
01-06-2008,15,49,nr,nr,67,nr,nr,51,57,65,71,72,nr,67,nr,62,59,nr,nr,51,nr,72,64,49,nr,nr,71,61,70,44,nr,60,nr,73,nr,63,nr,42,
01-06-2008,16,51,nr,nr,63,nr,nr,47,57,79,64,66,nr,60,nr,56,53,nr,nr,46,nr,66,56,47,nr,nr,60,57,56,37,nr,55,nr,64,nr,59,nr,39,
01-06-2008,17,51,nr,nr,60,nr,nr,43,54,89,57,61,nr,57,nr,51,47,nr,nr,47,nr,59,52,46,nr,nr,54,54,60,39,nr,52,nr,nr,nr,57,nr,40,
01-06-2008,18,51,nr,nr,58,nr,nr,39,49,85,54,57,nr,55,nr,48,47,nr,nr,46,nr,55,49,45,nr,nr,50,52,54,31,nr,48,nr,53,nr,53,nr,40,
01-06-2008,19,44,nr,nr,51,nr,nr,36,42,69,47,51,nr,45,nr,39,38,nr,nr,38,nr,49,44,35,nr,nr,44,46,41,25,nr,43,nr,48,nr,47,nr,35,
01-06-2008,20,35,nr,nr,41,nr,nr,26,34,34,37,41,nr,30,nr,27,26,nr,nr,27,nr,38,35,30,nr,nr,33,38,33,21,nr,33,nr,38,nr,36,nr,23,
01-06-2008,21,29,nr,nr,28,nr,nr,16,29,21,34,33,nr,20,nr,28,21,nr,nr,22,nr,29,24,20,nr,nr,28,26,25,19,nr,28,nr,31,nr,24,nr,16,
01-06-2008,22,27,nr,nr,20,nr,nr,18,25,18,23,29,nr,30,nr,23,11,nr,nr,17,nr,22,15,16,nr,nr,22,19,18,11,nr,17,nr,nr,nr,21,nr,19,
01-06-2008,23,30,nr,nr,21,nr,nr,16,21,19,18,31,nr,32,nr,21,11,nr,nr,15,nr,24,16,17,nr,nr,14,17,19,15,nr,15,nr,nr,nr,25,nr,21,
01-06-2008,24,31,nr,nr,30,nr,nr,22,18,19,23,34,nr,38,nr,26,20,nr,nr,23,nr,31,28,25,nr,nr,24,29,18,16,nr,22,nr,nr,nr,26,nr,26,
02-06-2008,1,29,nr,nr,29,nr,nr,28,9,23,27,38,nr,38,nr,31,24,nr,nr,27,nr,35,31,28,nr,nr,29,27,21,21,nr,nr,nr,nr,nr,30,nr,28,
02-06-2008,2,28,nr,nr,38,nr,nr,29,10,25,32,39,nr,37,nr,33,25,nr,nr,30,nr,36,32,28,nr,nr,28,32,22,21,nr,nr,nr,nr,nr,32,nr,29,
02-06-2008,3,25,nr,nr,36,nr,nr,30,5,18,31,39,nr,38,nr,30,17,nr,nr,23,nr,35,31,27,nr,nr,31,31,27,22,nr,nr,nr,nr,nr,29,nr,25,
02-06-2008,4,20,nr,nr,32,nr,nr,26,7,4,34,38,nr,34,nr,26,10,nr,nr,14,nr,36,31,23,nr,nr,34,28,24,23,nr,nr,nr,nr,nr,27,nr,21,
02-06-2008,5,18,nr,nr,20,nr,nr,16,0,0,29,37,nr,22,nr,16,5,nr,nr,7,nr,32,27,10,nr,nr,31,17,12,10,nr,nr,nr,nr,nr,20,nr,10,
02-06-2008,6,11,nr,nr,7,nr,nr,3,0,0,12,27,nr,2,nr,4,0,nr,nr,1,nr,13,16,2,nr,nr,13,2,6,2,nr,nr,nr,nr,nr,8,nr,2,
02-06-2008,7,8,nr,nr,8,nr,nr,2,1,1,5,20,nr,5,nr,5,0,nr,nr,2,nr,9,7,4,nr,nr,4,3,5,2,nr,3,nr,nr,nr,6,nr,5,
02-06-2008,8,16,nr,nr,16,nr,nr,5,9,14,13,28,nr,20,nr,10,8,nr,nr,8,nr,23,16,14,nr,nr,16,15,16,4,nr,9,nr,nr,nr,10,nr,14,
02-06-2008,9,31,nr,nr,27,nr,nr,17,21,27,24,37,nr,26,nr,22,17,nr,nr,13,nr,31,23,22,nr,nr,26,15,19,9,nr,21,nr,nr,nr,22,nr,14,
02-06-2008,10,41,nr,nr,35,nr,nr,33,38,35,31,46,nr,39,nr,38,28,nr,nr,24,nr,36,32,34,nr,nr,35,33,34,22,nr,26,nr,nr,nr,36,nr,nr,
02-06-2008,11,47,nr,nr,50,nr,nr,43,49,44,47,57,nr,45,nr,52,38,nr,nr,38,nr,50,44,42,nr,nr,nr,42,52,35,nr,43,nr,nr,nr,54,nr,nr,
02-06-2008,12,52,nr,nr,62,nr,nr,55,55,54,71,62,nr,55,nr,69,55,nr,nr,54,nr,63,56,48,nr,nr,nr,59,64,48,nr,51,nr,nr,nr,66,nr,nr,
02-06-2008,13,52,nr,nr,65,nr,nr,65,54,58,85,69,nr,60,nr,68,61,nr,nr,50,nr,85,74,52,nr,nr,nr,60,nr,59,nr,54,nr,88,nr,68,nr,nr,
02-06-2008,14,53,nr,nr,69,nr,nr,60,52,60,77,70,nr,65,nr,68,64,nr,nr,52,nr,78,69,54,nr,nr,nr,63,nr,49,nr,57,nr,98,nr,69,nr,nr,
02-06-2008,15,51,nr,nr,68,nr,nr,58,52,56,72,72,nr,63,nr,65,60,nr,nr,55,nr,77,68,52,nr,nr,76,63,nr,40,nr,56,nr,87,nr,67,nr,nr,
02-06-2008,16,48,nr,nr,67,nr,nr,53,50,51,66,70,nr,63,nr,61,52,nr,nr,52,nr,68,61,46,nr,nr,70,61,nr,38,nr,57,nr,76,nr,62,nr,32,
