Promedio horarios de rhPromedio horarios de rh
Fecha,Hora,ACO,AJU,ATI,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-07-2008,1,nr,nr,nr,nr,nr,85,95,nr,nr,92,nr,nr,nr,nr,nr,nr,nr,74,nr,95,nr,84,nr,nr,nr,nr,92,nr,81,nr,94,nr,nr,88,83,
01-07-2008,2,nr,nr,nr,nr,nr,88,94,nr,nr,92,nr,nr,nr,nr,nr,nr,nr,74,nr,97,nr,89,nr,nr,nr,nr,91,nr,81,nr,94,nr,nr,87,85,
01-07-2008,3,nr,nr,nr,nr,nr,89,92,nr,nr,93,nr,nr,nr,nr,nr,nr,nr,82,nr,96,nr,90,nr,nr,nr,nr,94,nr,82,nr,94,nr,nr,86,88,
01-07-2008,4,nr,nr,nr,nr,nr,95,91,nr,nr,93,nr,nr,nr,nr,nr,nr,nr,86,nr,96,nr,90,nr,nr,nr,nr,92,nr,88,nr,94,nr,nr,89,92,
01-07-2008,5,nr,nr,nr,nr,nr,95,88,nr,nr,93,nr,nr,nr,nr,nr,nr,nr,88,nr,96,nr,89,nr,nr,nr,nr,92,nr,89,nr,94,nr,nr,92,91,
01-07-2008,6,nr,nr,nr,nr,nr,93,86,nr,nr,93,nr,nr,nr,nr,nr,nr,nr,83,nr,96,nr,88,nr,nr,nr,nr,92,nr,89,nr,94,nr,nr,91,89,
01-07-2008,7,nr,nr,nr,nr,nr,91,87,nr,nr,93,nr,nr,nr,nr,nr,nr,nr,77,nr,95,nr,88,nr,nr,nr,nr,91,nr,91,nr,94,nr,nr,90,87,
01-07-2008,8,nr,nr,nr,nr,nr,79,85,nr,nr,93,nr,nr,nr,nr,nr,nr,nr,74,nr,90,nr,81,nr,nr,nr,nr,87,nr,87,nr,95,nr,nr,89,82,
01-07-2008,9,nr,nr,nr,nr,nr,70,75,nr,nr,87,nr,nr,nr,nr,nr,nr,nr,71,nr,77,nr,74,nr,nr,nr,nr,76,nr,78,nr,84,nr,nr,81,72,
01-07-2008,10,nr,nr,nr,nr,nr,62,71,nr,nr,73,nr,nr,nr,nr,nr,nr,nr,62,nr,65,nr,66,nr,nr,nr,nr,66,nr,70,nr,63,nr,nr,69,63,
01-07-2008,11,nr,nr,nr,nr,nr,57,65,nr,nr,69,nr,nr,nr,nr,nr,nr,nr,55,nr,54,nr,58,nr,nr,nr,nr,60,nr,64,nr,57,nr,nr,60,56,
01-07-2008,12,nr,nr,nr,nr,nr,56,59,nr,nr,69,nr,nr,nr,nr,nr,nr,nr,53,nr,54,nr,51,nr,nr,nr,nr,61,nr,59,nr,69,nr,nr,55,47,
01-07-2008,13,nr,nr,nr,nr,nr,59,65,nr,nr,72,nr,nr,nr,nr,nr,nr,nr,67,nr,68,nr,51,nr,nr,nr,nr,59,nr,55,nr,86,nr,nr,48,47,
01-07-2008,14,nr,nr,nr,nr,nr,64,62,nr,nr,68,nr,nr,nr,nr,nr,nr,nr,88,nr,63,nr,56,nr,nr,nr,nr,58,nr,61,nr,79,nr,nr,46,58,
01-07-2008,15,nr,nr,nr,nr,nr,58,62,nr,nr,71,nr,nr,nr,nr,nr,nr,nr,79,nr,69,nr,59,nr,nr,nr,nr,53,nr,63,nr,73,nr,nr,72,57,
01-07-2008,16,nr,nr,nr,nr,nr,64,65,nr,nr,72,nr,nr,nr,nr,nr,nr,nr,70,nr,72,nr,73,nr,nr,nr,nr,59,nr,72,nr,67,nr,nr,88,69,
01-07-2008,17,nr,nr,nr,nr,nr,79,77,nr,nr,76,nr,nr,nr,nr,nr,nr,nr,80,nr,74,nr,94,nr,nr,nr,nr,64,nr,85,nr,71,nr,nr,90,92,
01-07-2008,18,nr,nr,nr,nr,nr,91,92,nr,nr,89,nr,nr,nr,nr,nr,nr,nr,92,nr,79,nr,96,nr,nr,nr,nr,71,nr,90,nr,81,nr,nr,91,91,
01-07-2008,19,nr,nr,nr,nr,nr,91,93,nr,nr,90,nr,nr,nr,nr,nr,nr,nr,94,nr,84,nr,95,nr,nr,nr,nr,83,nr,92,nr,89,nr,nr,91,92,
01-07-2008,20,nr,nr,nr,nr,nr,96,94,nr,nr,90,nr,nr,nr,nr,nr,nr,nr,92,nr,94,nr,94,nr,nr,nr,nr,93,nr,88,nr,92,nr,nr,93,89,
01-07-2008,21,nr,nr,nr,nr,nr,96,95,nr,nr,91,nr,nr,nr,nr,nr,nr,nr,92,nr,96,nr,91,nr,nr,nr,nr,94,nr,86,nr,93,nr,nr,93,87,
01-07-2008,22,nr,nr,nr,nr,nr,95,95,nr,nr,93,nr,nr,nr,nr,nr,nr,nr,94,nr,96,nr,92,nr,nr,nr,nr,93,nr,85,nr,94,nr,nr,91,90,
01-07-2008,23,nr,nr,nr,nr,nr,97,95,nr,nr,93,nr,nr,nr,nr,nr,nr,nr,95,nr,97,nr,94,nr,nr,nr,nr,95,nr,84,nr,94,nr,nr,90,91,
01-07-2008,24,nr,nr,nr,nr,nr,98,94,nr,nr,93,nr,nr,nr,nr,nr,nr,nr,96,nr,97,nr,96,nr,nr,nr,nr,95,nr,88,nr,94,nr,nr,89,92,
02-07-2008,1,nr,nr,nr,nr,nr,98,89,nr,nr,94,nr,nr,nr,nr,nr,nr,nr,96,nr,97,nr,93,nr,nr,nr,nr,95,nr,89,nr,93,nr,nr,92,91,
02-07-2008,2,nr,nr,nr,nr,nr,98,90,nr,nr,94,nr,nr,nr,nr,nr,nr,nr,96,nr,97,nr,93,nr,nr,nr,nr,94,nr,89,nr,94,nr,nr,94,87,
02-07-2008,3,nr,nr,nr,nr,nr,98,90,nr,nr,94,nr,nr,nr,nr,nr,nr,nr,96,nr,97,nr,89,nr,nr,nr,nr,90,nr,88,nr,94,nr,nr,92,87,
02-07-2008,4,nr,nr,nr,nr,nr,98,88,nr,nr,94,nr,nr,nr,nr,nr,nr,nr,96,nr,97,nr,87,nr,nr,nr,nr,92,nr,90,nr,94,nr,nr,91,82,
02-07-2008,5,nr,nr,nr,nr,nr,98,87,nr,nr,94,nr,nr,nr,nr,nr,nr,nr,95,nr,96,nr,90,nr,nr,nr,nr,93,nr,91,nr,94,nr,nr,88,85,
02-07-2008,6,nr,nr,nr,nr,nr,97,89,nr,nr,94,nr,nr,nr,nr,nr,nr,nr,93,nr,95,nr,87,nr,nr,nr,nr,92,nr,92,nr,94,nr,nr,89,85,
02-07-2008,7,nr,nr,nr,nr,nr,96,88,nr,nr,94,nr,nr,nr,nr,nr,nr,nr,89,nr,96,nr,86,nr,nr,nr,nr,92,nr,92,nr,94,nr,nr,87,82,
02-07-2008,8,nr,nr,nr,nr,nr,94,86,nr,nr,95,nr,nr,nr,nr,nr,nr,nr,86,nr,93,nr,84,nr,nr,nr,nr,89,nr,87,nr,95,nr,nr,85,80,
02-07-2008,9,nr,nr,nr,nr,nr,82,82,nr,nr,95,nr,nr,nr,nr,nr,nr,nr,81,nr,84,nr,80,nr,nr,nr,nr,85,nr,78,nr,93,nr,nr,78,76,
02-07-2008,10,nr,nr,nr,nr,nr,69,76,nr,nr,83,nr,nr,nr,nr,nr,nr,nr,72,nr,69,nr,71,nr,nr,nr,nr,75,nr,69,nr,70,nr,nr,73,68,
02-07-2008,11,nr,nr,nr,nr,nr,64,69,nr,nr,71,nr,nr,nr,nr,nr,nr,nr,59,nr,66,nr,66,nr,nr,nr,nr,64,nr,59,nr,64,nr,nr,64,62,
02-07-2008,12,nr,nr,nr,nr,nr,55,63,nr,nr,72,nr,nr,nr,nr,nr,nr,nr,54,nr,55,nr,62,nr,nr,nr,nr,58,nr,55,nr,62,nr,nr,59,58,
02-07-2008,13,nr,nr,nr,nr,nr,51,62,nr,nr,67,nr,nr,nr,nr,nr,nr,nr,48,nr,64,nr,58,nr,nr,nr,nr,58,nr,55,nr,61,nr,nr,54,52,
02-07-2008,14,nr,nr,nr,nr,nr,60,54,nr,nr,63,nr,nr,nr,nr,nr,nr,nr,48,nr,54,nr,52,nr,nr,nr,nr,58,nr,83,nr,56,nr,nr,47,43,
02-07-2008,15,nr,nr,nr,nr,nr,91,56,nr,nr,62,nr,nr,nr,nr,nr,nr,nr,82,nr,65,nr,53,nr,nr,nr,nr,71,nr,85,nr,63,nr,nr,45,57,
02-07-2008,16,nr,nr,nr,nr,nr,94,60,nr,nr,79,nr,nr,nr,nr,nr,nr,nr,90,nr,94,nr,70,nr,nr,nr,nr,84,nr,81,nr,77,nr,nr,56,88,
02-07-2008,17,nr,nr,nr,nr,nr,91,68,nr,nr,89,nr,nr,nr,nr,nr,nr,nr,86,nr,91,nr,76,nr,nr,nr,nr,82,nr,81,nr,81,nr,nr,72,87,
