Promedio horarios de tmpPromedio horarios de tmp
Fecha,Hora,ACO,AJU,ATI,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-09-2008,1,nr,nr,nr,nr,nr,16,15,nr,nr,12,nr,16,nr,16,nr,nr,nr,16,nr,nr,15,17,nr,nr,nr,16,17,nr,15,nr,12,nr,nr,16,16,
01-09-2008,2,nr,nr,nr,nr,nr,16,14,nr,nr,12,nr,16,nr,16,nr,nr,nr,16,nr,nr,15,17,nr,nr,nr,16,16,nr,15,nr,13,nr,nr,16,16,
01-09-2008,3,nr,nr,nr,nr,nr,16,13,nr,nr,12,nr,16,nr,16,nr,nr,nr,16,nr,nr,16,17,nr,nr,nr,16,16,nr,15,nr,13,nr,nr,16,16,
01-09-2008,4,nr,nr,nr,nr,nr,16,13,nr,nr,12,nr,16,nr,16,nr,nr,nr,16,nr,nr,16,16,nr,nr,nr,16,16,nr,15,nr,13,nr,nr,16,16,
01-09-2008,5,nr,nr,nr,nr,nr,15,13,nr,nr,12,nr,16,nr,16,nr,nr,nr,16,nr,nr,15,16,nr,nr,nr,16,16,nr,15,nr,13,nr,nr,15,15,
01-09-2008,6,nr,nr,nr,nr,nr,15,13,nr,nr,12,nr,16,nr,16,nr,nr,nr,15,nr,nr,15,16,nr,nr,nr,16,15,nr,15,nr,13,nr,nr,15,16,
01-09-2008,7,nr,nr,nr,nr,nr,16,13,nr,nr,11,nr,16,nr,16,nr,nr,nr,16,nr,nr,15,16,nr,nr,nr,16,15,nr,15,nr,12,nr,nr,15,16,
01-09-2008,8,nr,nr,nr,nr,nr,16,14,nr,nr,12,nr,16,nr,17,nr,nr,nr,16,nr,nr,15,16,nr,nr,nr,16,15,nr,15,nr,13,nr,nr,15,16,
01-09-2008,9,nr,nr,nr,nr,nr,17,16,nr,nr,12,nr,17,nr,17,nr,nr,nr,17,nr,nr,16,17,nr,nr,nr,17,16,nr,16,nr,14,nr,nr,16,18,
01-09-2008,10,nr,nr,nr,nr,nr,18,17,nr,nr,14,nr,18,nr,18,nr,nr,nr,16,nr,nr,18,19,nr,nr,nr,18,18,nr,17,nr,14,nr,nr,18,19,
01-09-2008,11,nr,nr,nr,nr,nr,19,19,nr,nr,16,nr,20,nr,20,nr,nr,nr,19,nr,nr,19,21,nr,nr,nr,20,19,nr,19,nr,18,nr,nr,20,19,
01-09-2008,12,nr,nr,nr,nr,nr,21,20,nr,nr,17,nr,21,nr,21,nr,nr,nr,21,nr,nr,21,22,nr,nr,nr,21,21,nr,20,nr,20,nr,nr,22,21,
01-09-2008,13,nr,nr,nr,nr,nr,23,21,nr,nr,18,nr,22,nr,22,nr,nr,nr,23,nr,nr,22,23,nr,nr,nr,23,22,nr,22,nr,20,nr,nr,23,23,
01-09-2008,14,nr,nr,nr,nr,nr,25,23,nr,nr,19,nr,23,nr,24,nr,nr,nr,24,nr,nr,24,24,nr,nr,nr,24,24,nr,23,nr,22,nr,nr,24,24,
01-09-2008,15,nr,nr,nr,nr,nr,25,24,nr,nr,20,nr,24,nr,25,nr,nr,nr,25,nr,nr,25,26,nr,nr,nr,25,25,nr,24,nr,22,nr,nr,24,24,
01-09-2008,16,nr,nr,nr,nr,nr,24,22,nr,nr,20,nr,25,nr,25,nr,nr,nr,25,nr,nr,25,26,nr,nr,nr,25,25,nr,24,nr,20,nr,nr,26,25,
01-09-2008,17,nr,nr,nr,nr,nr,21,21,nr,nr,19,nr,23,nr,23,nr,nr,nr,20,nr,nr,19,23,nr,nr,nr,23,23,nr,23,nr,20,nr,nr,27,23,
01-09-2008,18,nr,nr,nr,nr,nr,20,20,nr,nr,15,nr,18,nr,21,nr,nr,nr,19,nr,nr,16,23,nr,nr,nr,20,22,nr,20,nr,19,nr,nr,24,21,
01-09-2008,19,nr,nr,nr,nr,nr,19,19,nr,nr,15,nr,18,nr,21,nr,nr,nr,21,nr,nr,16,21,nr,nr,nr,20,20,nr,20,nr,18,nr,nr,nr,21,
01-09-2008,20,nr,nr,nr,nr,nr,19,18,nr,nr,15,nr,18,nr,21,nr,nr,nr,20,nr,nr,16,21,nr,nr,nr,19,19,nr,19,nr,16,nr,nr,18,20,
01-09-2008,21,nr,nr,nr,nr,nr,19,18,nr,nr,15,nr,18,nr,20,nr,nr,nr,20,nr,nr,17,20,nr,nr,nr,19,19,nr,19,nr,15,nr,nr,17,19,
01-09-2008,22,nr,nr,nr,nr,nr,18,16,nr,nr,15,nr,18,nr,20,nr,nr,nr,19,nr,nr,17,19,nr,nr,nr,19,17,nr,18,nr,14,nr,nr,18,19,
01-09-2008,23,nr,nr,nr,nr,nr,17,15,nr,nr,15,nr,18,nr,18,nr,nr,nr,19,nr,nr,17,19,nr,nr,nr,18,16,nr,18,nr,13,nr,nr,17,18,
01-09-2008,24,nr,nr,nr,nr,nr,16,14,nr,nr,14,nr,18,nr,18,nr,nr,nr,18,nr,nr,16,18,nr,nr,nr,18,16,nr,17,nr,13,nr,nr,17,18,
02-09-2008,1,nr,nr,nr,nr,nr,16,13,nr,nr,14,nr,17,nr,17,nr,nr,nr,17,nr,nr,16,18,nr,nr,nr,17,15,nr,17,nr,12,nr,nr,17,17,
02-09-2008,2,nr,nr,nr,nr,nr,16,13,nr,nr,13,nr,16,nr,18,nr,nr,nr,17,nr,nr,15,18,nr,nr,nr,17,15,nr,16,nr,12,nr,nr,17,17,
02-09-2008,3,nr,nr,nr,nr,nr,15,13,nr,nr,13,nr,16,nr,18,nr,nr,nr,17,nr,nr,15,17,nr,nr,nr,17,14,nr,16,nr,13,nr,nr,17,17,
02-09-2008,4,nr,nr,nr,nr,nr,15,12,nr,nr,13,nr,16,nr,17,nr,nr,nr,16,nr,nr,15,17,nr,nr,nr,17,14,nr,16,nr,13,nr,nr,17,17,
02-09-2008,5,nr,nr,nr,nr,nr,14,13,nr,nr,13,nr,nr,nr,17,nr,nr,nr,16,nr,nr,14,16,nr,nr,nr,17,14,nr,16,nr,12,nr,nr,17,16,
