Promedio horarios de pm10Promedio horarios de pm10
Fecha,Hora,ACO,AJU,ATI,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LLA,LPR,LVI,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-07-2009,1,nr,nr,nr,nr,nr,9,nr,nr,nr,nr,nr,11,nr,8,nr,nr,13,18,nr,nr,nr,31,nr,nr,13,7,17,nr,33,nr,nr,nr,nr,27,21,
01-07-2009,2,nr,nr,nr,nr,nr,13,nr,nr,nr,nr,nr,8,nr,24,nr,nr,21,22,nr,4,nr,nr,nr,nr,20,3,11,nr,12,nr,nr,nr,nr,31,21,
01-07-2009,3,nr,nr,nr,nr,nr,17,nr,nr,nr,nr,nr,10,nr,29,nr,nr,23,14,nr,10,nr,13,nr,nr,10,nr,12,nr,20,nr,nr,nr,nr,5,27,
01-07-2009,4,nr,nr,nr,nr,nr,17,nr,nr,nr,nr,nr,14,nr,20,nr,nr,20,14,nr,8,nr,21,nr,nr,14,12,13,nr,20,nr,nr,nr,nr,nr,7,
01-07-2009,5,nr,nr,nr,nr,nr,14,nr,nr,nr,nr,nr,4,nr,33,nr,nr,13,26,nr,8,nr,nr,nr,nr,9,11,2,nr,9,nr,nr,nr,nr,nr,33,
01-07-2009,6,nr,nr,nr,nr,nr,13,nr,nr,nr,nr,nr,4,nr,10,nr,nr,4,8,nr,13,nr,14,nr,nr,10,9,6,nr,9,nr,nr,nr,nr,nr,25,
01-07-2009,7,nr,nr,nr,nr,nr,15,nr,nr,nr,nr,nr,9,nr,16,nr,nr,11,17,nr,21,nr,12,nr,nr,15,17,23,nr,10,nr,nr,nr,nr,17,27,
01-07-2009,8,nr,nr,nr,nr,nr,9,nr,nr,nr,nr,nr,14,nr,22,nr,nr,6,8,nr,15,nr,11,nr,nr,15,7,13,nr,16,nr,nr,nr,nr,16,31,
01-07-2009,9,nr,nr,nr,nr,nr,17,nr,nr,nr,nr,nr,10,nr,nr,nr,nr,20,nr,nr,19,nr,18,nr,nr,14,7,10,nr,9,nr,nr,nr,nr,19,50,
01-07-2009,10,nr,nr,nr,nr,nr,22,nr,nr,nr,nr,nr,2,nr,nr,nr,nr,22,nr,nr,22,nr,25,nr,nr,nr,13,9,nr,16,nr,nr,nr,nr,22,20,
