Promedio horarios de noxPromedio horarios de nox
Fecha,Hora,ACO,AJU,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-05-2010,1,nr,nr,70,44,nr,nr,18,nr,nr,nr,nr,nr,84,nr,41,42,nr,nr,38,nr,28,nr,nr,nr,nr,34,40,nr,26,nr,69,32,nr,nr,13,22,nr,
01-05-2010,2,nr,nr,45,14,nr,nr,15,nr,nr,nr,nr,nr,30,nr,23,56,nr,nr,55,nr,47,nr,nr,nr,nr,6,43,nr,5,nr,54,28,nr,nr,11,37,nr,
01-05-2010,3,nr,nr,10,11,nr,nr,18,nr,nr,nr,nr,nr,13,nr,19,51,nr,nr,34,nr,55,nr,nr,nr,nr,8,19,nr,4,nr,23,18,nr,nr,9,30,nr,
01-05-2010,4,nr,nr,9,60,nr,nr,13,nr,nr,nr,nr,nr,25,nr,17,58,nr,nr,50,nr,42,nr,nr,nr,nr,8,46,nr,3,nr,30,17,nr,nr,9,30,nr,
01-05-2010,5,nr,nr,19,80,nr,nr,25,nr,nr,nr,nr,nr,42,nr,22,30,nr,nr,32,nr,39,nr,nr,nr,nr,9,95,nr,5,nr,57,17,nr,nr,13,27,nr,
01-05-2010,6,nr,nr,34,91,nr,nr,64,nr,nr,nr,nr,nr,80,nr,42,48,nr,nr,49,nr,55,nr,nr,nr,nr,39,130,nr,14,nr,68,18,nr,nr,18,34,nr,
01-05-2010,7,nr,nr,76,137,nr,nr,58,nr,nr,nr,nr,nr,161,nr,45,67,nr,nr,112,nr,74,nr,nr,nr,nr,97,142,nr,18,nr,104,18,nr,nr,23,36,nr,
01-05-2010,8,nr,nr,74,64,nr,nr,105,nr,nr,nr,nr,nr,157,nr,46,67,nr,nr,71,nr,84,nr,nr,nr,nr,87,53,nr,64,nr,83,20,nr,nr,23,49,nr,
01-05-2010,9,nr,nr,55,51,nr,nr,102,nr,nr,nr,nr,nr,62,nr,39,61,nr,nr,45,nr,59,nr,nr,nr,nr,62,38,nr,54,nr,55,23,nr,nr,20,33,nr,
01-05-2010,10,nr,nr,32,37,nr,nr,53,nr,nr,nr,nr,nr,49,nr,30,47,nr,nr,32,nr,37,nr,nr,nr,nr,49,31,nr,20,nr,30,27,nr,nr,13,28,nr,
01-05-2010,11,nr,nr,24,21,nr,nr,24,nr,nr,nr,nr,nr,24,nr,23,34,nr,nr,33,nr,17,nr,nr,nr,nr,17,25,nr,16,nr,21,25,nr,nr,12,18,nr,
01-05-2010,12,nr,nr,14,14,nr,nr,22,nr,nr,nr,nr,nr,10,nr,nr,29,nr,nr,30,nr,12,nr,nr,nr,nr,13,13,nr,18,nr,18,20,nr,nr,11,14,nr,
01-05-2010,13,nr,nr,11,11,nr,nr,14,nr,nr,nr,nr,nr,13,nr,21,22,nr,nr,41,nr,9,nr,nr,nr,nr,14,16,nr,23,nr,19,12,nr,nr,12,10,nr,
01-05-2010,14,nr,nr,9,9,nr,nr,16,nr,nr,nr,nr,nr,14,nr,31,25,nr,nr,41,nr,8,nr,nr,nr,nr,14,12,nr,14,nr,13,13,nr,nr,13,10,nr,
01-05-2010,15,nr,nr,10,11,nr,nr,16,nr,nr,nr,nr,nr,11,nr,21,21,nr,nr,66,nr,7,nr,nr,nr,nr,14,12,nr,10,nr,13,14,nr,nr,15,18,nr,
01-05-2010,16,nr,nr,9,11,nr,nr,13,nr,nr,nr,nr,nr,15,nr,17,25,nr,nr,62,nr,5,nr,nr,nr,nr,13,11,nr,7,nr,19,17,nr,nr,13,16,nr,
01-05-2010,17,nr,nr,12,10,nr,nr,16,nr,nr,nr,nr,nr,15,nr,22,24,nr,nr,60,nr,5,nr,nr,nr,nr,13,11,nr,8,nr,18,19,nr,nr,12,16,nr,
01-05-2010,18,nr,nr,10,12,nr,nr,12,nr,nr,nr,nr,nr,13,nr,24,29,nr,nr,48,nr,6,nr,nr,nr,nr,15,14,nr,8,nr,19,19,nr,nr,13,15,nr,
01-05-2010,19,nr,nr,13,14,nr,nr,15,nr,nr,nr,nr,nr,16,nr,24,34,nr,nr,47,nr,7,nr,nr,nr,nr,15,18,nr,6,nr,16,20,nr,nr,15,15,nr,
01-05-2010,20,nr,nr,19,27,nr,nr,22,nr,nr,nr,nr,nr,25,nr,31,27,nr,nr,39,nr,9,nr,nr,nr,nr,21,23,nr,11,nr,31,18,nr,nr,18,20,nr,
01-05-2010,21,nr,nr,24,28,nr,nr,29,nr,nr,nr,nr,nr,35,nr,35,36,nr,nr,41,nr,15,nr,nr,nr,nr,23,28,nr,16,nr,33,20,nr,nr,29,27,nr,
01-05-2010,22,nr,nr,28,42,nr,nr,40,nr,nr,nr,nr,nr,49,nr,51,55,nr,nr,45,nr,39,nr,nr,nr,nr,22,28,nr,39,nr,35,30,nr,nr,39,36,nr,
01-05-2010,23,nr,nr,40,49,nr,nr,55,nr,nr,nr,nr,nr,25,nr,59,54,nr,nr,76,nr,71,nr,nr,nr,nr,31,21,nr,108,nr,37,39,nr,nr,51,33,nr,
01-05-2010,24,nr,nr,27,37,nr,nr,54,nr,nr,nr,nr,nr,42,nr,83,87,nr,nr,122,nr,49,nr,nr,nr,nr,68,35,nr,52,nr,42,39,nr,nr,45,50,nr,
02-05-2010,1,nr,nr,38,22,nr,nr,33,nr,nr,nr,nr,nr,69,nr,76,110,nr,nr,117,nr,43,nr,nr,nr,nr,107,28,nr,81,nr,42,36,nr,nr,32,46,nr,
02-05-2010,2,nr,nr,45,31,nr,nr,32,nr,nr,nr,nr,nr,34,nr,40,61,nr,nr,61,nr,41,nr,nr,nr,nr,72,28,nr,20,nr,35,55,nr,nr,27,46,nr,
02-05-2010,3,nr,nr,26,73,nr,nr,14,nr,nr,nr,nr,nr,33,nr,39,58,nr,nr,73,nr,20,nr,nr,nr,nr,118,38,nr,43,nr,78,67,nr,nr,11,51,nr,
02-05-2010,4,nr,nr,26,83,nr,nr,14,nr,nr,nr,nr,nr,32,nr,54,55,nr,nr,86,nr,17,nr,nr,nr,nr,93,59,nr,37,nr,62,82,nr,nr,16,43,nr,
02-05-2010,5,nr,nr,34,56,nr,nr,16,nr,nr,nr,nr,nr,35,nr,58,85,nr,nr,113,nr,31,nr,nr,nr,nr,66,59,nr,98,nr,84,117,nr,nr,16,47,nr,
02-05-2010,6,nr,nr,54,78,nr,nr,26,nr,nr,nr,nr,nr,54,nr,106,85,nr,nr,159,nr,28,nr,nr,nr,nr,69,112,nr,177,nr,65,117,nr,nr,36,50,nr,
02-05-2010,7,nr,nr,64,97,nr,nr,76,nr,nr,nr,nr,nr,104,nr,156,182,nr,nr,344,nr,48,nr,nr,nr,nr,106,132,nr,264,nr,73,144,nr,nr,63,64,nr,
