Promedio horarios de wdrPromedio horarios de wdr
Fecha,Hora,ACO,AJU,ATI,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IMP,IZT,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-10-2010,1,nr,nr,nr,nr,nr,282,63,nr,nr,17,nr,278,nr,nr,nr,nr,nr,310,nr,nr,327,337,nr,nr,311,324,nr,nr,324,nr,248,nr,nr,nr,nr,
01-10-2010,2,nr,nr,nr,nr,nr,290,66,nr,nr,304,nr,259,nr,nr,nr,nr,nr,315,nr,nr,307,352,nr,nr,298,320,nr,nr,341,nr,226,nr,nr,nr,nr,
01-10-2010,3,nr,nr,nr,nr,nr,266,72,nr,nr,229,nr,215,nr,nr,nr,nr,nr,329,nr,nr,246,356,nr,nr,269,251,nr,nr,358,nr,232,nr,nr,nr,nr,
01-10-2010,4,nr,nr,nr,nr,nr,223,54,nr,nr,189,nr,223,nr,nr,nr,nr,nr,353,nr,nr,264,78,nr,nr,270,251,nr,nr,350,nr,222,nr,nr,nr,nr,
01-10-2010,5,nr,nr,nr,nr,nr,294,54,nr,nr,186,nr,222,nr,nr,nr,nr,nr,76,nr,nr,240,52,nr,nr,247,249,nr,nr,321,nr,218,nr,nr,nr,nr,
01-10-2010,6,nr,nr,nr,nr,nr,321,37,nr,nr,173,nr,225,nr,nr,nr,nr,nr,94,nr,nr,260,23,nr,nr,305,254,nr,nr,300,nr,219,nr,nr,nr,nr,
01-10-2010,7,nr,nr,nr,nr,nr,303,nr,nr,nr,198,nr,226,nr,nr,nr,nr,nr,89,nr,nr,240,15,nr,nr,212,251,nr,nr,292,nr,214,nr,nr,nr,nr,
01-10-2010,8,nr,nr,nr,nr,nr,358,38,nr,nr,35,nr,219,nr,nr,nr,nr,nr,46,nr,nr,331,360,nr,nr,78,276,nr,nr,333,nr,214,nr,nr,nr,nr,
01-10-2010,9,nr,nr,nr,nr,nr,13,301,nr,nr,30,nr,349,nr,nr,nr,nr,nr,299,nr,nr,344,348,nr,nr,350,320,nr,nr,353,nr,4,nr,nr,nr,nr,
01-10-2010,10,nr,nr,nr,nr,nr,353,322,nr,nr,22,nr,2,nr,nr,nr,nr,nr,348,nr,nr,348,341,nr,nr,337,323,nr,nr,353,nr,34,nr,nr,nr,nr,
01-10-2010,11,nr,nr,nr,nr,nr,318,317,nr,nr,19,nr,335,nr,nr,nr,nr,nr,281,nr,nr,341,341,nr,nr,320,313,nr,nr,320,nr,23,nr,nr,nr,nr,
01-10-2010,12,nr,nr,nr,nr,nr,9,336,nr,nr,21,nr,335,nr,nr,nr,nr,nr,19,nr,nr,347,328,nr,nr,336,338,nr,nr,335,nr,23,nr,nr,nr,nr,
01-10-2010,13,nr,nr,nr,nr,nr,358,325,nr,nr,24,nr,334,nr,nr,nr,nr,nr,25,nr,nr,6,333,nr,nr,357,333,nr,nr,354,nr,34,nr,nr,nr,nr,
01-10-2010,14,nr,nr,nr,nr,nr,11,330,nr,nr,11,nr,342,nr,nr,nr,nr,nr,8,nr,nr,3,336,nr,nr,16,329,nr,nr,11,nr,17,nr,nr,nr,nr,
01-10-2010,15,nr,nr,nr,nr,nr,358,348,nr,nr,20,nr,359,nr,nr,nr,nr,nr,352,nr,nr,330,3,nr,nr,355,354,nr,nr,358,nr,27,nr,nr,nr,nr,
01-10-2010,16,nr,nr,nr,nr,nr,7,19,nr,nr,20,nr,343,nr,nr,nr,nr,nr,15,nr,nr,350,13,nr,nr,349,352,nr,nr,354,nr,351,nr,nr,nr,nr,
01-10-2010,17,nr,nr,nr,nr,nr,7,27,nr,nr,4,nr,1,nr,nr,nr,nr,nr,20,nr,nr,15,5,nr,nr,19,27,nr,nr,25,nr,17,nr,nr,nr,nr,
01-10-2010,18,nr,nr,nr,nr,nr,5,14,nr,nr,20,nr,27,nr,nr,nr,nr,nr,10,nr,nr,16,7,nr,nr,13,25,nr,nr,32,nr,24,nr,nr,nr,nr,
01-10-2010,19,nr,nr,nr,nr,nr,2,11,nr,nr,24,nr,15,nr,nr,nr,nr,nr,8,nr,nr,nr,360,nr,nr,11,17,nr,nr,27,nr,14,nr,nr,nr,nr,
01-10-2010,20,nr,nr,nr,nr,nr,356,18,nr,nr,18,nr,6,nr,nr,nr,nr,nr,6,nr,nr,351,351,nr,nr,358,10,nr,nr,nr,nr,7,nr,nr,nr,nr,
01-10-2010,21,nr,nr,nr,nr,nr,354,12,nr,nr,16,nr,352,nr,nr,nr,nr,nr,1,nr,nr,343,343,nr,nr,341,330,nr,nr,nr,nr,336,nr,nr,nr,nr,
01-10-2010,22,nr,nr,nr,nr,nr,338,59,nr,nr,1,nr,343,nr,nr,nr,nr,nr,344,nr,nr,318,337,nr,nr,318,318,nr,nr,nr,nr,297,nr,nr,nr,nr,
01-10-2010,23,nr,nr,nr,nr,nr,316,45,nr,nr,4,nr,291,nr,nr,nr,nr,nr,320,nr,nr,309,338,nr,nr,292,309,nr,nr,nr,nr,276,nr,nr,nr,nr,
