Promedio horarios de so2Promedio horarios de so2
Fecha,Hora,ACO,AJU,ARA,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,LVI,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-12-2010,1,nr,nr,nr,23,49,nr,nr,9,nr,2,nr,nr,nr,49,nr,32,8,nr,nr,8,17,nr,43,nr,28,nr,nr,55,43,0,49,nr,59,100,nr,nr,8,nr,nr,9,
01-12-2010,2,1,nr,nr,18,72,nr,nr,14,nr,2,nr,nr,nr,28,nr,27,14,nr,nr,16,24,nr,30,30,69,nr,nr,35,44,0,18,nr,91,136,nr,nr,10,nr,nr,12,
01-12-2010,3,3,nr,nr,33,85,nr,nr,26,nr,2,nr,nr,nr,30,nr,39,22,nr,nr,51,43,nr,21,31,59,nr,nr,28,64,0,30,nr,125,135,nr,nr,25,nr,nr,32,
01-12-2010,4,19,nr,nr,91,104,nr,nr,15,nr,2,nr,nr,nr,41,nr,39,19,nr,nr,37,45,nr,24,37,73,nr,nr,19,64,2,17,nr,115,119,nr,nr,22,nr,nr,40,
01-12-2010,5,31,nr,nr,83,80,nr,nr,41,nr,3,nr,nr,nr,64,nr,62,26,nr,nr,41,52,nr,17,31,81,nr,nr,22,74,1,36,nr,92,130,nr,nr,56,nr,nr,48,
01-12-2010,6,25,nr,nr,44,87,nr,nr,43,nr,5,nr,nr,nr,53,nr,65,35,nr,nr,66,55,nr,26,45,78,nr,nr,58,68,1,57,nr,98,103,nr,nr,nr,nr,nr,54,
01-12-2010,7,19,nr,nr,43,79,nr,nr,25,nr,4,nr,nr,nr,48,nr,47,35,nr,nr,62,41,nr,40,53,73,nr,nr,36,75,5,26,nr,78,119,nr,nr,33,nr,nr,60,
01-12-2010,8,5,nr,nr,90,65,nr,nr,30,nr,5,nr,nr,nr,46,nr,59,45,nr,nr,65,49,nr,25,36,41,nr,nr,22,51,7,30,nr,98,109,nr,nr,42,nr,nr,51,
01-12-2010,9,0,nr,nr,101,63,nr,nr,28,nr,14,nr,nr,nr,50,nr,40,47,nr,nr,46,38,nr,20,34,46,nr,nr,nr,51,6,nr,nr,90,65,nr,nr,37,nr,nr,41,
01-12-2010,10,0,nr,nr,89,57,nr,nr,23,nr,14,nr,nr,nr,58,nr,30,47,nr,nr,39,35,nr,21,32,45,nr,nr,nr,46,7,21,nr,70,nr,nr,nr,34,nr,nr,45,
01-12-2010,11,12,nr,nr,72,50,nr,nr,21,nr,14,nr,nr,nr,56,nr,25,39,nr,nr,35,30,nr,21,31,36,nr,nr,nr,42,7,17,nr,64,nr,nr,nr,28,nr,nr,42,
01-12-2010,12,9,nr,nr,54,49,nr,nr,20,nr,19,nr,nr,nr,51,nr,25,35,nr,nr,34,29,nr,20,29,28,nr,nr,nr,37,8,18,nr,60,nr,nr,nr,25,nr,nr,33,
01-12-2010,13,7,nr,nr,43,44,nr,nr,19,nr,18,nr,nr,nr,46,nr,23,29,nr,nr,27,25,nr,nr,27,23,nr,nr,18,31,8,18,nr,44,36,nr,nr,22,nr,nr,28,
01-12-2010,14,6,nr,nr,30,28,nr,nr,16,nr,13,nr,nr,nr,32,nr,18,20,nr,nr,17,19,nr,16,21,17,nr,nr,16,21,7,17,nr,33,31,nr,nr,18,nr,nr,23,
01-12-2010,15,2,nr,nr,14,19,nr,nr,11,nr,12,nr,nr,nr,20,nr,11,11,nr,nr,10,12,nr,10,12,9,nr,nr,nr,13,5,9,nr,19,11,nr,nr,13,nr,nr,12,
01-12-2010,16,1,nr,nr,13,16,nr,nr,8,nr,8,nr,nr,nr,15,nr,6,12,nr,nr,11,9,nr,9,10,6,nr,nr,7,14,1,6,nr,12,7,nr,nr,11,nr,nr,8,
01-12-2010,17,1,nr,nr,11,12,nr,nr,8,nr,6,nr,nr,nr,13,nr,8,12,nr,nr,8,10,nr,7,10,6,nr,nr,6,10,0,5,nr,14,9,nr,nr,9,nr,nr,8,
01-12-2010,18,1,nr,nr,10,15,nr,nr,7,nr,7,nr,nr,nr,14,nr,8,11,nr,nr,10,10,nr,7,12,6,nr,nr,nr,12,0,6,nr,nr,5,nr,nr,9,8,nr,8,
01-12-2010,19,1,nr,nr,29,11,nr,nr,8,nr,8,nr,nr,nr,50,nr,7,9,nr,nr,7,8,nr,10,12,6,nr,nr,nr,9,0,7,nr,15,12,nr,nr,10,9,nr,8,
01-12-2010,20,0,nr,nr,133,98,nr,nr,8,nr,3,nr,nr,nr,138,nr,17,31,nr,nr,13,19,nr,84,93,4,nr,nr,93,120,0,12,nr,nr,4,nr,nr,10,10,nr,7,
01-12-2010,21,0,nr,nr,112,107,nr,nr,5,nr,4,nr,nr,nr,128,nr,27,45,nr,nr,6,12,nr,97,101,3,nr,nr,102,112,0,21,nr,110,17,nr,nr,6,5,nr,5,
01-12-2010,22,1,nr,nr,82,145,nr,nr,7,nr,4,nr,nr,nr,181,nr,5,26,nr,nr,6,4,nr,53,75,4,nr,nr,27,141,0,20,nr,116,65,nr,nr,10,50,nr,6,
01-12-2010,23,1,nr,nr,72,100,nr,nr,7,nr,6,nr,nr,nr,125,nr,5,80,nr,nr,48,23,nr,28,67,5,nr,nr,25,121,0,4,nr,123,98,nr,nr,10,46,nr,7,
01-12-2010,24,1,nr,nr,49,116,nr,nr,5,nr,5,nr,nr,nr,88,nr,6,111,nr,nr,45,103,nr,17,54,6,nr,nr,15,57,0,6,nr,137,103,nr,nr,9,141,nr,6,
02-12-2010,1,0,nr,nr,34,60,nr,nr,9,nr,5,nr,nr,nr,63,nr,49,103,nr,nr,147,116,nr,13,34,41,nr,nr,27,47,0,13,nr,99,100,nr,nr,9,151,nr,7,
02-12-2010,2,0,nr,nr,24,35,nr,nr,11,nr,7,nr,nr,nr,41,nr,13,58,nr,nr,78,38,nr,7,25,63,nr,nr,20,39,2,9,nr,41,64,nr,nr,12,119,nr,19,
02-12-2010,3,0,nr,nr,18,27,nr,nr,20,nr,6,nr,nr,nr,25,nr,44,38,nr,nr,36,29,nr,4,16,11,nr,nr,18,27,4,9,nr,25,46,nr,nr,36,45,nr,35,
02-12-2010,4,0,nr,nr,14,23,nr,nr,9,nr,4,nr,nr,nr,18,nr,42,33,nr,nr,32,25,nr,4,12,11,nr,nr,6,19,9,3,nr,18,35,nr,nr,34,27,nr,20,
