Promedio horarios de noPromedio horarios de no
Fecha,Hora,ACO,AJU,ATI,AZC,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,HGM,IZT,LAG,LLA,LPR,MER,NEZ,PED,PLA,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-05-2012,1,0,nr,5,nr,nr,nr,nr,nr,0,0,3,nr,11,3,5,nr,nr,0,nr,nr,1,nr,1,0,nr,9,nr,0,nr,nr,nr,4,1,5,2,0,5,
01-05-2012,2,7,nr,2,nr,nr,nr,nr,nr,0,0,1,nr,6,7,3,nr,nr,0,nr,nr,1,nr,2,0,nr,13,nr,0,nr,nr,nr,8,0,1,0,0,3,
01-05-2012,3,11,nr,2,nr,nr,nr,nr,nr,0,0,2,nr,3,1,0,nr,nr,0,nr,nr,1,nr,4,1,nr,3,nr,0,nr,nr,nr,4,0,2,0,4,7,
01-05-2012,4,3,nr,3,nr,nr,nr,nr,nr,0,0,1,nr,4,12,6,nr,nr,0,nr,nr,1,nr,14,0,nr,13,nr,0,nr,nr,nr,6,0,3,0,8,24,
01-05-2012,5,2,nr,7,nr,nr,nr,nr,nr,2,0,1,nr,6,4,44,nr,nr,0,nr,nr,1,nr,21,1,nr,17,nr,0,nr,nr,nr,22,0,5,0,1,103,
01-05-2012,6,5,nr,18,nr,nr,nr,nr,nr,1,8,8,nr,25,34,12,nr,nr,22,75,nr,1,nr,27,3,nr,0,nr,0,nr,nr,nr,37,1,6,4,17,64,
01-05-2012,7,14,nr,70,nr,nr,nr,nr,nr,8,12,23,nr,66,43,26,nr,nr,121,109,nr,2,nr,82,27,nr,9,nr,3,nr,nr,nr,45,6,22,10,16,138,
01-05-2012,8,18,nr,76,nr,nr,nr,nr,nr,13,16,33,nr,45,53,63,nr,nr,53,50,nr,25,nr,106,nr,nr,17,nr,30,nr,nr,nr,44,9,27,14,24,82,
01-05-2012,9,9,nr,12,nr,nr,nr,nr,nr,4,28,17,nr,17,37,47,nr,nr,6,40,nr,27,nr,21,21,nr,19,nr,8,nr,nr,nr,22,27,18,33,28,40,
01-05-2012,10,2,nr,11,nr,nr,nr,nr,nr,2,21,9,nr,20,28,20,nr,nr,0,35,nr,21,nr,9,12,nr,12,nr,3,nr,nr,nr,17,18,18,16,4,24,
01-05-2012,11,3,nr,5,nr,nr,nr,nr,0,1,9,6,nr,7,11,9,nr,nr,nr,14,nr,9,nr,7,6,nr,5,nr,3,nr,nr,nr,8,11,9,8,0,10,
01-05-2012,12,1,nr,3,nr,nr,nr,nr,1,1,4,5,nr,6,4,nr,nr,nr,0,6,nr,5,nr,4,3,nr,2,nr,2,nr,nr,nr,4,6,5,3,0,7,
01-05-2012,13,1,nr,4,nr,nr,nr,nr,0,1,0,3,nr,6,3,1,nr,nr,0,5,nr,2,nr,3,2,nr,1,nr,0,nr,nr,nr,3,3,2,1,0,5,
01-05-2012,14,1,nr,3,nr,nr,nr,nr,0,0,0,2,nr,4,2,1,nr,nr,0,3,nr,1,nr,2,1,nr,0,nr,0,nr,nr,nr,2,2,1,1,0,5,
01-05-2012,15,1,nr,3,nr,nr,nr,nr,1,2,0,nr,nr,3,2,0,nr,nr,4,2,nr,1,nr,2,1,nr,0,nr,0,nr,nr,nr,2,0,1,1,0,5,
01-05-2012,16,1,nr,3,nr,nr,nr,nr,0,1,0,nr,nr,4,3,1,nr,nr,3,3,nr,0,nr,nr,1,nr,0,nr,0,nr,nr,nr,2,2,1,2,0,3,
01-05-2012,17,2,nr,3,nr,nr,nr,nr,0,3,0,nr,nr,6,2,1,nr,nr,5,5,nr,0,nr,1,0,nr,0,nr,0,nr,nr,nr,1,1,1,2,nr,5,
01-05-2012,18,1,nr,3,nr,nr,nr,nr,1,3,0,nr,nr,3,0,1,nr,nr,6,9,nr,1,nr,1,1,nr,0,nr,0,nr,nr,nr,1,2,1,2,nr,7,
01-05-2012,19,1,nr,3,nr,nr,nr,nr,0,3,0,nr,nr,3,0,2,nr,nr,0,1,nr,2,nr,3,0,nr,0,nr,0,nr,nr,nr,2,0,1,2,nr,3,
01-05-2012,20,1,nr,3,nr,nr,nr,nr,0,1,0,2,nr,5,0,1,nr,nr,nr,2,nr,1,nr,3,0,nr,nr,nr,0,nr,nr,nr,2,1,0,2,nr,3,
01-05-2012,21,1,nr,3,nr,nr,nr,nr,0,4,0,2,nr,3,0,0,nr,nr,0,7,nr,1,nr,2,0,nr,0,nr,0,nr,nr,nr,1,2,1,2,nr,3,
01-05-2012,22,1,nr,2,nr,nr,nr,nr,2,3,0,1,nr,2,0,0,nr,nr,2,4,nr,1,nr,7,0,nr,0,nr,1,nr,nr,nr,2,5,1,3,nr,10,
