Promedio horarios de so2Promedio horarios de so2
Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-01-2015,1,4,20,nr,nr,16,nr,nr,67,4,nr,nr,3,nr,16,2,13,nr,nr,50,nr,11,nr,nr,nr,nr,63,13,nr,15,10,nr,nr,27,11,6,11,nr,8,nr,nr,44,31,2,4,5,nr,86,21,
01-01-2015,2,5,9,nr,nr,12,nr,nr,41,5,nr,nr,3,nr,15,2,6,nr,nr,44,nr,18,nr,87,nr,nr,31,15,nr,34,10,nr,nr,73,10,9,11,nr,7,nr,nr,24,38,2,6,12,nr,80,22,
01-01-2015,3,9,6,nr,nr,9,nr,nr,30,4,nr,nr,2,nr,15,1,5,nr,nr,33,nr,32,nr,101,nr,nr,19,13,nr,67,9,nr,nr,82,10,27,10,nr,8,nr,nr,29,71,2,19,33,nr,133,24,
01-01-2015,4,9,9,nr,nr,8,nr,nr,41,4,nr,nr,1,nr,3,1,4,nr,nr,24,nr,56,nr,152,nr,nr,nr,11,nr,58,7,nr,nr,120,7,27,30,nr,8,nr,nr,41,113,1,48,52,nr,116,32,
01-01-2015,5,5,16,nr,nr,6,nr,nr,34,3,nr,nr,2,nr,6,1,3,nr,nr,42,nr,55,nr,88,nr,nr,47,16,nr,67,6,nr,nr,60,5,37,47,nr,8,nr,nr,17,61,1,34,42,nr,79,34,
01-01-2015,6,3,13,nr,nr,4,nr,nr,39,5,nr,nr,2,nr,5,2,3,nr,nr,39,nr,57,nr,19,nr,nr,59,13,nr,35,5,nr,nr,21,3,36,27,nr,7,nr,nr,11,29,1,7,27,nr,19,40,
01-01-2015,7,2,10,nr,nr,3,nr,nr,36,7,nr,nr,1,nr,2,2,2,nr,nr,33,nr,52,nr,19,nr,nr,46,9,nr,27,6,nr,nr,13,3,23,12,nr,6,nr,nr,8,32,1,6,24,nr,11,27,
01-01-2015,8,2,10,nr,nr,3,nr,nr,28,3,nr,nr,1,nr,3,2,3,nr,nr,39,nr,43,nr,9,nr,nr,41,7,nr,11,4,nr,nr,19,4,14,9,nr,6,nr,nr,7,15,1,4,20,nr,10,18,
01-01-2015,9,2,13,nr,nr,6,nr,nr,18,8,nr,nr,2,nr,8,2,4,nr,nr,50,nr,40,nr,10,nr,nr,28,18,nr,13,18,nr,nr,26,11,18,13,nr,6,nr,nr,11,17,4,5,34,nr,8,29,
01-01-2015,10,5,17,nr,nr,18,nr,nr,31,14,nr,nr,2,nr,9,2,19,nr,nr,36,nr,28,nr,18,nr,nr,28,22,nr,23,22,nr,nr,21,9,32,17,nr,9,nr,nr,19,13,15,11,32,nr,9,31,
