Promedio horarios de noxPromedio horarios de nox
Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-05-2018,1,10,14,nr,10,nr,nr,nr,20,nr,17,12,nr,26,10,nr,nr,nr,14,nr,nr,nr,12,nr,16,15,nr,23,22,nr,nr,11,33,nr,nr,nr,nr,nr,nr,17,11,nr,16,20,6,15,
01-05-2018,2,23,13,nr,12,nr,nr,nr,13,nr,22,38,nr,26,8,nr,nr,nr,10,nr,nr,nr,13,nr,17,20,nr,20,18,nr,nr,10,25,nr,nr,nr,nr,nr,nr,14,11,nr,12,19,7,19,
01-05-2018,3,28,12,nr,11,nr,nr,nr,14,nr,20,24,nr,20,13,nr,nr,nr,22,nr,nr,nr,16,nr,26,23,nr,22,19,nr,nr,22,18,nr,nr,nr,nr,nr,nr,18,10,nr,30,27,6,20,
01-05-2018,4,34,14,nr,12,nr,nr,nr,16,nr,52,33,nr,27,21,nr,nr,nr,43,nr,nr,nr,29,nr,32,41,nr,24,17,nr,nr,25,21,nr,nr,nr,nr,nr,nr,23,16,nr,30,30,13,30,
01-05-2018,5,59,10,nr,14,nr,nr,nr,22,nr,25,56,nr,55,25,nr,nr,nr,35,nr,nr,nr,60,nr,51,63,nr,32,14,nr,nr,33,26,nr,nr,nr,nr,nr,nr,27,40,nr,45,38,19,69,
01-05-2018,6,100,10,nr,30,nr,nr,nr,29,nr,90,100,nr,46,29,nr,nr,nr,56,nr,nr,nr,66,nr,108,59,nr,110,19,nr,nr,89,40,nr,nr,nr,nr,nr,nr,58,49,nr,66,49,35,141,
01-05-2018,7,72,14,nr,58,nr,nr,nr,39,nr,73,76,nr,46,36,nr,nr,nr,104,nr,nr,nr,102,nr,126,148,nr,87,34,nr,nr,144,49,nr,nr,nr,nr,nr,nr,88,55,nr,94,72,64,148,
01-05-2018,8,71,14,nr,63,nr,nr,nr,63,nr,45,52,nr,53,41,nr,nr,nr,68,nr,nr,nr,77,nr,90,101,nr,75,34,nr,nr,124,46,nr,nr,nr,nr,nr,nr,94,51,nr,53,65,104,90,
01-05-2018,9,48,36,nr,53,nr,nr,nr,50,nr,18,32,nr,15,38,nr,nr,nr,64,nr,nr,nr,90,nr,71,74,nr,54,49,nr,nr,100,21,nr,nr,nr,nr,nr,nr,72,67,nr,29,34,74,77,
01-05-2018,10,23,28,nr,60,nr,nr,nr,31,nr,11,14,nr,12,49,nr,nr,nr,47,nr,nr,nr,61,nr,44,59,nr,37,33,nr,nr,39,28,nr,nr,nr,nr,nr,nr,72,58,nr,18,26,67,80,
01-05-2018,11,16,19,nr,47,nr,nr,nr,23,nr,7,10,nr,26,28,nr,nr,nr,36,nr,nr,nr,22,nr,55,35,nr,19,23,nr,nr,25,22,nr,nr,nr,nr,nr,nr,59,53,nr,12,23,36,32,
01-05-2018,12,9,13,nr,22,nr,nr,nr,17,nr,5,6,nr,14,18,nr,nr,nr,28,nr,nr,nr,9,nr,26,25,nr,11,14,nr,nr,15,14,nr,nr,nr,nr,nr,nr,28,43,nr,8,13,15,23,
01-05-2018,13,8,10,nr,29,nr,nr,nr,11,nr,4,6,nr,14,5,nr,nr,nr,12,nr,nr,nr,6,nr,21,15,nr,8,9,nr,nr,11,14,nr,nr,nr,nr,nr,nr,31,16,nr,6,8,6,16,
