Promedio horarios de pm2Promedio horarios de pm2
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-12-2019,1,nr,16,nr,nr,25,27,24,27,nr,nr,nr,nr,nr,23,26,29,22,nr,nr,nr,18,nr,nr,24,20,28,nr,18,nr,nr,nr,nr,19,nr,nr,28,28,nr,22,
01-12-2019,2,nr,12,nr,nr,21,31,20,34,nr,nr,nr,nr,nr,25,29,7,16,nr,nr,nr,23,nr,nr,31,16,29,nr,21,nr,nr,nr,nr,25,nr,nr,28,31,nr,45,
01-12-2019,3,nr,15,nr,nr,22,25,15,28,nr,nr,nr,nr,nr,39,23,24,13,nr,nr,nr,23,nr,nr,43,14,35,nr,13,nr,nr,nr,nr,23,nr,nr,35,29,nr,33,
01-12-2019,4,nr,13,nr,nr,19,29,9,19,nr,nr,nr,nr,nr,35,26,25,17,nr,nr,nr,23,nr,nr,38,22,34,nr,19,nr,nr,nr,nr,19,nr,nr,28,29,nr,34,
01-12-2019,5,nr,14,nr,nr,19,20,17,24,nr,nr,nr,nr,nr,31,25,21,15,nr,nr,nr,20,nr,nr,32,16,34,nr,11,nr,nr,nr,nr,22,nr,nr,27,33,nr,37,
01-12-2019,6,nr,15,nr,nr,17,16,19,27,nr,nr,nr,nr,nr,25,28,16,10,nr,nr,nr,21,nr,nr,33,18,35,nr,12,nr,nr,nr,nr,11,nr,nr,27,42,nr,38,
01-12-2019,7,nr,13,nr,nr,18,20,14,29,nr,nr,nr,nr,nr,29,23,15,14,nr,nr,nr,16,nr,nr,38,15,33,nr,6,nr,nr,nr,nr,13,nr,nr,35,47,nr,38,
01-12-2019,8,nr,8,nr,nr,12,19,15,31,nr,nr,nr,nr,nr,30,34,16,8,nr,nr,nr,28,nr,nr,44,13,38,nr,12,nr,nr,nr,nr,17,nr,nr,31,40,nr,35,
01-12-2019,9,nr,6,nr,nr,15,19,11,48,nr,nr,nr,nr,nr,28,27,25,5,nr,nr,nr,34,nr,nr,27,10,42,nr,12,nr,nr,nr,nr,21,nr,nr,30,28,nr,42,
01-12-2019,10,nr,11,nr,nr,21,13,5,44,nr,nr,nr,nr,nr,27,40,46,5,nr,nr,nr,38,nr,nr,24,9,52,nr,12,nr,nr,nr,nr,25,nr,nr,9,38,nr,48,
01-12-2019,11,nr,6,nr,nr,18,15,1,32,nr,nr,nr,nr,nr,26,35,65,10,nr,nr,nr,42,nr,nr,34,7,53,nr,6,nr,nr,nr,nr,21,nr,nr,15,41,nr,61,
01-12-2019,12,nr,5,nr,nr,11,nr,10,17,nr,nr,nr,nr,nr,30,21,21,5,nr,nr,nr,nr,nr,nr,36,6,45,nr,8,nr,nr,nr,nr,17,nr,nr,11,28,nr,30,
