Promedio horarios de rhPromedio horarios de rh
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SS1,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-05-2021,1,84,nr,94,nr,72,nr,nr,nr,77,nr,nr,74,nr,88,76,80,73,nr,88,nr,nr,nr,76,71,69,67,71,nr,nr,nr,78,nr,87,nr,nr,nr,nr,80,nr,nr,68,75,nr,67,
01-05-2021,2,87,nr,93,nr,74,nr,nr,nr,81,nr,nr,76,nr,88,79,85,73,nr,88,nr,nr,nr,76,72,69,71,73,nr,nr,nr,77,nr,87,nr,nr,nr,nr,80,nr,nr,71,79,nr,73,
01-05-2021,3,90,nr,94,nr,74,nr,nr,nr,82,nr,nr,76,nr,88,83,84,73,nr,88,nr,nr,nr,78,72,71,73,75,nr,nr,nr,77,nr,88,nr,nr,nr,nr,79,nr,nr,77,81,nr,73,
01-05-2021,4,94,nr,94,nr,75,nr,nr,nr,84,nr,nr,68,nr,89,83,84,73,nr,87,nr,nr,nr,79,73,74,75,74,nr,nr,nr,77,nr,88,nr,nr,nr,nr,80,nr,nr,79,82,nr,74,
01-05-2021,5,98,nr,94,nr,76,nr,nr,nr,85,nr,nr,67,nr,89,88,86,74,nr,84,nr,nr,nr,79,71,72,76,70,nr,nr,nr,78,nr,88,nr,nr,nr,nr,nr,nr,nr,79,83,nr,75,
01-05-2021,6,98,nr,93,nr,76,nr,nr,nr,87,nr,nr,67,nr,90,90,85,73,nr,87,nr,nr,nr,79,71,70,76,66,nr,nr,nr,77,nr,87,nr,nr,nr,nr,82,nr,nr,82,82,nr,76,
01-05-2021,7,99,nr,96,nr,75,nr,nr,nr,87,nr,nr,69,nr,90,90,85,72,nr,86,nr,nr,nr,80,66,70,79,65,nr,nr,nr,76,nr,88,nr,nr,nr,nr,81,nr,nr,82,84,nr,76,
01-05-2021,8,94,nr,90,nr,69,nr,nr,nr,71,nr,nr,64,nr,91,84,82,64,nr,78,nr,nr,nr,77,63,66,70,65,nr,nr,nr,74,nr,79,nr,nr,nr,nr,74,nr,nr,72,82,nr,71,
01-05-2021,9,76,nr,78,nr,62,nr,nr,nr,56,nr,nr,54,nr,71,67,71,54,nr,67,nr,nr,nr,58,56,57,55,45,nr,nr,nr,59,nr,71,nr,nr,nr,nr,64,nr,nr,58,63,nr,61,
01-05-2021,10,61,nr,64,nr,47,nr,nr,nr,44,nr,nr,47,nr,47,49,54,43,nr,57,nr,nr,nr,40,42,52,46,46,nr,nr,nr,45,nr,54,nr,nr,nr,nr,50,nr,nr,48,51,nr,47,
01-05-2021,11,43,nr,55,nr,38,nr,nr,nr,36,nr,nr,41,nr,32,40,44,36,nr,52,nr,nr,nr,33,35,43,41,39,nr,nr,nr,34,nr,43,nr,nr,nr,nr,38,nr,nr,40,44,nr,38,
01-05-2021,12,37,nr,48,nr,35,nr,nr,nr,32,nr,nr,36,nr,27,35,38,32,nr,45,nr,nr,nr,30,30,42,36,35,nr,nr,nr,30,nr,39,nr,nr,nr,nr,35,nr,nr,37,38,nr,33,
01-05-2021,13,32,nr,47,nr,31,nr,nr,nr,31,nr,nr,35,nr,26,32,35,28,nr,38,nr,nr,nr,26,27,35,33,33,nr,nr,nr,29,nr,36,nr,nr,nr,nr,31,nr,nr,33,35,nr,30,
01-05-2021,14,31,nr,47,nr,28,nr,nr,nr,29,nr,nr,38,nr,26,28,33,26,nr,44,nr,nr,nr,24,26,28,30,31,nr,nr,nr,33,nr,33,nr,nr,nr,nr,28,nr,nr,32,32,nr,27,
01-05-2021,15,31,nr,47,nr,29,nr,nr,nr,40,nr,nr,37,nr,27,33,32,29,nr,43,nr,nr,nr,27,30,29,35,31,nr,nr,nr,34,nr,33,nr,nr,nr,nr,27,nr,nr,32,33,nr,27,
01-05-2021,16,53,nr,52,nr,31,nr,nr,nr,51,nr,nr,32,nr,27,54,36,27,nr,37,nr,nr,nr,28,26,30,37,31,nr,nr,nr,30,nr,30,nr,nr,nr,nr,26,nr,nr,33,35,nr,35,
01-05-2021,17,49,nr,55,nr,32,nr,nr,nr,68,nr,nr,30,nr,23,51,43,31,nr,39,nr,nr,nr,33,23,34,49,31,nr,nr,nr,27,nr,33,nr,nr,nr,nr,24,nr,nr,34,36,nr,37,
01-05-2021,18,47,nr,51,nr,31,nr,nr,nr,64,nr,nr,32,nr,24,65,51,32,nr,38,nr,nr,nr,40,22,38,41,30,nr,nr,nr,29,nr,40,nr,nr,nr,nr,25,nr,nr,34,36,nr,44,
01-05-2021,19,57,nr,50,nr,37,nr,nr,nr,59,nr,nr,35,nr,28,64,54,36,nr,41,nr,nr,nr,45,25,39,41,28,nr,nr,nr,32,nr,47,nr,nr,nr,nr,38,nr,nr,33,38,nr,44,
01-05-2021,20,58,nr,51,nr,31,nr,nr,nr,54,nr,nr,40,nr,30,63,52,29,nr,48,nr,nr,nr,34,28,38,47,32,nr,nr,nr,38,nr,46,nr,nr,nr,nr,35,nr,nr,31,40,nr,45,
01-05-2021,21,56,nr,58,nr,33,nr,nr,nr,58,nr,nr,44,nr,37,63,54,32,nr,59,nr,nr,nr,32,31,37,41,34,nr,nr,nr,43,nr,42,nr,nr,nr,nr,30,nr,nr,32,35,nr,48,
01-05-2021,22,61,nr,65,nr,34,nr,nr,nr,57,nr,nr,46,nr,41,71,41,34,nr,69,nr,nr,nr,35,33,36,34,36,nr,nr,nr,44,nr,40,nr,nr,nr,nr,35,nr,nr,35,37,nr,47,
01-05-2021,23,61,nr,67,nr,33,nr,nr,nr,46,nr,nr,48,nr,44,49,41,34,nr,70,nr,nr,nr,36,34,36,37,36,nr,nr,nr,46,nr,43,nr,nr,nr,nr,36,nr,nr,35,38,nr,37,
01-05-2021,24,53,nr,68,nr,36,nr,nr,nr,44,nr,nr,50,nr,51,47,43,35,nr,74,nr,nr,nr,37,35,40,37,38,nr,nr,nr,48,nr,43,nr,nr,nr,nr,39,nr,nr,34,40,nr,38,
02-05-2021,1,53,nr,75,nr,36,nr,nr,nr,50,nr,nr,53,nr,56,50,47,36,nr,76,nr,nr,nr,40,37,44,46,38,nr,nr,nr,50,nr,46,nr,nr,nr,nr,40,nr,nr,38,43,nr,40,
02-05-2021,2,56,nr,87,nr,42,nr,nr,nr,55,nr,nr,53,nr,60,64,54,37,nr,78,nr,nr,nr,42,38,47,54,39,nr,nr,nr,51,nr,46,nr,nr,nr,nr,43,nr,nr,47,48,nr,52,
02-05-2021,3,61,nr,93,nr,41,nr,nr,nr,60,nr,nr,54,nr,62,68,59,40,nr,83,nr,nr,nr,48,39,51,58,44,nr,nr,nr,52,nr,53,nr,nr,nr,nr,47,nr,nr,54,55,nr,57,
02-05-2021,4,68,nr,93,nr,52,nr,nr,nr,64,nr,nr,57,nr,61,72,63,42,nr,86,nr,nr,nr,52,40,57,63,50,nr,nr,nr,54,nr,60,nr,nr,nr,nr,51,nr,nr,57,56,70,60,
02-05-2021,5,77,nr,92,nr,56,nr,nr,nr,68,nr,nr,56,nr,66,74,72,46,nr,86,nr,nr,nr,52,43,48,64,55,nr,nr,nr,55,nr,67,nr,nr,nr,nr,56,nr,nr,66,63,71,64,
02-05-2021,6,87,nr,97,nr,63,nr,nr,nr,70,nr,nr,51,nr,70,72,71,56,nr,84,nr,nr,nr,62,48,57,65,57,nr,nr,nr,59,nr,75,nr,nr,nr,nr,62,nr,nr,75,69,76,63,
02-05-2021,7,88,nr,96,nr,68,nr,nr,nr,70,nr,nr,49,nr,73,75,72,61,nr,82,nr,nr,nr,68,53,54,65,54,nr,nr,nr,60,nr,72,nr,nr,nr,nr,59,nr,nr,77,69,80,62,
02-05-2021,8,82,nr,78,nr,66,nr,nr,nr,65,nr,nr,50,nr,73,72,69,58,nr,77,nr,nr,nr,64,56,42,61,53,nr,nr,nr,56,nr,69,nr,nr,nr,nr,58,nr,nr,65,64,82,59,
02-05-2021,9,77,nr,55,nr,60,nr,nr,nr,60,nr,nr,47,nr,59,68,65,50,nr,63,nr,nr,nr,54,49,46,53,49,nr,nr,nr,46,nr,62,nr,nr,nr,nr,49,nr,nr,61,59,75,49,
02-05-2021,10,59,nr,46,nr,44,nr,nr,nr,55,nr,nr,36,nr,38,55,47,39,nr,46,nr,nr,nr,39,38,42,45,38,nr,nr,nr,29,nr,46,nr,nr,nr,nr,38,nr,nr,47,49,56,38,
02-05-2021,11,42,nr,38,nr,34,nr,nr,nr,38,nr,nr,32,nr,26,42,36,33,nr,42,nr,nr,nr,30,32,37,34,33,nr,nr,nr,25,nr,36,nr,nr,nr,nr,30,nr,nr,35,36,44,31,
02-05-2021,12,34,nr,39,nr,28,nr,nr,nr,31,nr,nr,29,nr,21,34,36,27,nr,35,nr,nr,nr,26,25,39,28,29,nr,nr,nr,27,nr,32,nr,nr,nr,nr,24,nr,nr,29,30,40,29,
02-05-2021,13,29,nr,42,nr,26,nr,nr,nr,28,nr,nr,28,nr,18,29,30,24,nr,33,nr,nr,nr,21,22,34,27,26,nr,nr,nr,26,nr,29,nr,nr,nr,nr,21,nr,nr,28,29,37,26,
02-05-2021,14,26,nr,41,nr,24,nr,nr,nr,25,nr,nr,30,nr,17,26,28,23,nr,36,nr,nr,nr,20,21,27,24,27,nr,nr,nr,24,nr,27,nr,nr,nr,nr,22,nr,nr,28,29,34,24,
02-05-2021,15,25,nr,45,nr,25,nr,nr,nr,24,nr,nr,31,nr,18,25,28,23,nr,35,nr,nr,nr,22,20,28,24,29,nr,nr,nr,27,nr,27,nr,nr,nr,nr,21,nr,nr,31,27,31,23,
02-05-2021,16,25,nr,45,nr,28,nr,nr,nr,24,nr,nr,27,nr,20,29,30,27,nr,36,nr,nr,nr,25,24,31,26,29,nr,nr,nr,27,nr,28,nr,nr,nr,nr,23,nr,nr,31,31,32,27,
02-05-2021,17,27,nr,45,nr,43,nr,nr,nr,29,nr,nr,28,nr,22,32,38,41,nr,35,nr,nr,nr,36,41,34,30,34,nr,nr,nr,24,nr,48,nr,nr,nr,nr,28,nr,nr,33,34,37,33,
02-05-2021,18,44,nr,44,nr,44,nr,nr,nr,37,nr,nr,29,nr,29,47,59,36,nr,35,nr,nr,nr,41,36,34,36,30,nr,nr,nr,25,nr,62,nr,nr,nr,nr,40,nr,nr,35,47,46,45,
02-05-2021,19,59,nr,43,nr,29,nr,nr,nr,50,nr,nr,32,nr,34,39,43,29,nr,39,nr,nr,nr,34,26,32,36,29,nr,nr,nr,30,nr,45,nr,nr,nr,nr,38,nr,nr,31,41,49,40,
02-05-2021,20,53,nr,48,nr,31,nr,nr,nr,48,nr,nr,35,nr,27,46,47,31,nr,44,nr,nr,nr,38,26,32,40,31,nr,nr,nr,35,nr,45,nr,nr,nr,nr,29,nr,nr,38,41,48,43,
02-05-2021,21,43,nr,55,nr,33,nr,nr,nr,44,nr,nr,37,nr,29,42,46,29,nr,47,nr,nr,nr,38,28,34,37,31,nr,nr,nr,37,nr,41,nr,nr,nr,nr,27,nr,nr,34,39,47,42,
02-05-2021,22,46,nr,57,nr,36,nr,nr,nr,44,nr,nr,38,nr,33,40,38,30,nr,51,nr,nr,nr,35,28,33,30,34,nr,nr,nr,38,nr,38,nr,nr,nr,nr,30,nr,nr,33,38,42,32,
02-05-2021,23,52,nr,62,nr,43,nr,nr,nr,43,nr,nr,37,nr,35,38,41,32,nr,44,nr,nr,nr,39,28,31,33,32,nr,nr,nr,37,nr,40,nr,nr,nr,nr,32,nr,nr,32,36,43,32,
02-05-2021,24,52,nr,64,nr,47,nr,nr,nr,42,nr,nr,36,nr,36,39,42,35,nr,42,nr,nr,nr,37,30,32,35,30,nr,nr,nr,33,nr,49,nr,nr,nr,nr,33,nr,nr,32,37,43,35,
03-05-2021,1,46,nr,64,nr,51,nr,nr,nr,43,nr,nr,33,nr,35,40,44,34,nr,43,nr,nr,nr,37,30,35,36,30,nr,nr,nr,33,nr,55,nr,nr,nr,nr,35,nr,nr,32,37,43,37,
