Promedio horarios de coPromedio horarios de co
Fecha,Hora,ACO,AJM,AJU,ARA,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VAL,VIF,XAL,
01-10-2021,1,0.20,nr,nr,nr,0.06,nr,0.19,0.16,0.40,nr,0.33,0.25,nr,0.42,nr,0.08,0.20,nr,nr,nr,nr,0.26,nr,nr,0.27,0.21,0.12,0.11,0.31,0.32,nr,0.21,0.27,0.22,nr,nr,nr,0.13,nr,nr,0.06,0.10,nr,0.29,nr,nr,0.07,nr,
01-10-2021,2,0.14,nr,nr,nr,0.11,nr,0.19,0.11,0.29,nr,0.31,0.08,nr,0.22,nr,0.10,0.14,nr,nr,nr,nr,0.18,nr,nr,0.16,0.27,0.13,0.14,0.25,0.31,nr,0.12,0.16,0.15,nr,nr,nr,0.12,nr,nr,0.08,0.10,nr,0.23,nr,nr,0.07,nr,
01-10-2021,3,0.20,nr,nr,nr,0.08,nr,0.27,0.19,0.31,nr,0.10,0.03,nr,0.18,nr,0.20,0.10,nr,nr,nr,nr,0.27,nr,nr,0.07,0.28,0.30,0.24,0.11,0.31,nr,0.03,0.12,0.12,nr,nr,nr,0.13,nr,nr,0.18,0.08,nr,0.26,nr,nr,0.06,nr,
01-10-2021,4,0.19,nr,nr,nr,0.41,nr,0.23,0.11,0.28,nr,0.06,0.09,nr,0.07,nr,0.32,0.09,nr,nr,nr,nr,0.06,nr,nr,0.08,0.17,0.40,0.21,0.05,0.37,nr,0.01,0.26,0.17,nr,nr,nr,0.15,nr,nr,0.24,0.12,nr,0.08,nr,nr,0.08,nr,
01-10-2021,5,0.27,nr,nr,nr,0.28,nr,0.20,0.06,0.13,nr,0.08,0.34,nr,0.20,nr,0.46,0.05,nr,nr,nr,nr,0.22,nr,nr,0.15,0.14,0.61,0.17,0.17,0.27,nr,0.01,0.24,0.26,nr,nr,nr,0.14,nr,nr,0.31,0.33,nr,0.05,nr,nr,0.26,nr,
01-10-2021,6,0.37,nr,nr,nr,0.34,nr,0.18,0.21,0.11,nr,0.49,0.92,nr,0.42,nr,0.71,0.51,nr,nr,nr,nr,0.24,nr,nr,0.40,0.73,0.48,0.15,0.67,0.11,nr,0.58,0.45,0.43,nr,nr,nr,0.19,nr,nr,0.61,0.37,nr,0.18,nr,nr,0.65,nr,
01-10-2021,7,0.48,nr,nr,nr,1.24,nr,0.39,1.15,0.23,nr,1.01,1.74,nr,0.67,nr,1.40,0.54,nr,nr,nr,nr,0.55,nr,nr,0.51,1.11,0.64,0.14,1.73,0.52,nr,0.63,1.13,0.77,nr,nr,nr,0.77,nr,nr,1.02,0.82,nr,0.43,nr,nr,0.81,nr,
01-10-2021,8,1.01,nr,nr,nr,2.33,nr,0.83,1.21,0.60,nr,1.33,1.12,nr,0.36,nr,1.24,0.54,nr,nr,nr,nr,1.06,nr,nr,1.04,1.16,0.51,0.16,1.36,0.75,nr,0.50,1.22,0.72,nr,nr,nr,0.60,nr,nr,1.25,1.21,nr,0.86,nr,nr,0.66,nr,
01-10-2021,9,0.48,nr,nr,nr,0.56,nr,0.88,1.04,0.93,nr,0.49,0.57,nr,0.43,nr,0.66,0.64,nr,nr,nr,nr,1.06,nr,nr,0.63,0.93,0.74,0.17,0.72,0.69,nr,0.38,0.77,0.49,nr,nr,nr,0.39,nr,nr,1.17,0.84,nr,0.57,nr,nr,0.58,nr,
01-10-2021,10,0.27,nr,nr,nr,0.83,nr,0.72,0.79,0.63,nr,0.08,0.25,nr,0.49,nr,0.91,0.30,nr,nr,nr,nr,0.70,nr,nr,0.63,0.89,0.95,0.18,0.32,nr,nr,0.33,0.25,0.64,nr,nr,nr,0.23,nr,nr,0.81,0.46,nr,0.33,nr,nr,0.49,nr,
