Promedio horarios de pm10Promedio horarios de pm10
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,LVI,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-10-2021,1,9,nr,nr,nr,16,22,nr,nr,nr,18,nr,nr,nr,6,nr,nr,nr,3,16,nr,nr,nr,16,nr,nr,11,nr,nr,nr,18,8,nr,nr,4,nr,nr,11,10,nr,nr,nr,nr,nr,
01-10-2021,2,19,nr,nr,nr,19,18,nr,nr,nr,20,nr,nr,nr,6,nr,nr,nr,3,21,nr,nr,nr,21,nr,7,12,nr,nr,nr,22,13,nr,nr,2,nr,nr,21,7,nr,nr,nr,nr,nr,
01-10-2021,3,11,nr,nr,5,20,20,nr,nr,nr,18,nr,nr,nr,8,nr,nr,nr,3,19,nr,nr,nr,17,nr,2,15,nr,nr,nr,19,nr,nr,nr,6,nr,nr,22,12,nr,nr,nr,13,nr,
01-10-2021,4,13,nr,nr,6,15,38,nr,nr,nr,4,nr,nr,nr,6,nr,nr,nr,7,11,nr,nr,nr,20,nr,10,9,nr,nr,nr,15,4,nr,nr,4,nr,nr,29,11,nr,nr,nr,16,nr,
01-10-2021,5,17,nr,nr,16,17,18,nr,nr,nr,8,nr,nr,nr,10,nr,nr,nr,7,17,nr,nr,nr,12,nr,4,7,nr,nr,nr,27,16,nr,nr,5,nr,nr,34,12,nr,nr,nr,11,nr,
01-10-2021,6,18,nr,nr,21,16,nr,nr,nr,nr,13,nr,nr,nr,18,nr,nr,nr,7,14,nr,nr,nr,12,nr,5,14,nr,nr,nr,8,12,nr,nr,5,nr,nr,41,29,nr,nr,nr,10,nr,
01-10-2021,7,20,nr,nr,8,13,20,nr,nr,nr,28,nr,nr,nr,17,nr,nr,nr,3,12,nr,nr,nr,15,nr,6,11,nr,nr,nr,13,14,nr,nr,10,nr,nr,38,36,nr,nr,nr,24,nr,
01-10-2021,8,21,nr,nr,19,14,28,nr,nr,nr,41,nr,nr,nr,43,nr,nr,nr,3,11,nr,nr,nr,17,nr,5,25,nr,nr,nr,21,20,nr,nr,12,nr,nr,50,36,nr,nr,nr,20,nr,
01-10-2021,9,29,nr,nr,43,19,43,nr,nr,nr,36,nr,nr,nr,54,nr,nr,nr,nr,20,nr,nr,nr,19,nr,3,39,nr,nr,nr,25,19,nr,nr,18,nr,nr,64,61,nr,nr,nr,65,nr,
01-10-2021,10,18,nr,nr,26,27,45,nr,nr,nr,22,nr,nr,nr,8,nr,nr,nr,nr,18,nr,nr,nr,34,nr,3,30,nr,nr,nr,31,22,nr,nr,13,nr,nr,61,45,nr,nr,nr,28,nr,
