Promedio horarios de tmpPromedio horarios de tmp
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SS1,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-07-2023,1,15,10,11,nr,17,nr,nr,nr,16,16,nr,15,15,15,19,nr,nr,nr,11,nr,nr,nr,18,18,nr,18,15,nr,13,18,nr,nr,17,nr,nr,14,nr,17,nr,nr,15,17,15,nr,
01-07-2023,2,15,10,11,nr,17,nr,nr,nr,16,16,nr,15,15,15,18,nr,nr,nr,11,nr,nr,nr,19,17,nr,18,15,nr,12,18,nr,nr,17,nr,nr,14,nr,17,nr,nr,15,17,15,nr,
01-07-2023,3,15,10,11,nr,17,nr,nr,nr,16,16,nr,15,14,15,18,nr,nr,nr,10,nr,nr,nr,19,17,nr,17,15,nr,12,18,nr,nr,17,nr,nr,14,nr,17,nr,nr,15,17,15,nr,
01-07-2023,4,15,10,11,nr,17,nr,nr,nr,16,16,nr,14,14,15,18,nr,nr,nr,10,nr,nr,nr,18,18,nr,17,15,nr,12,18,nr,nr,17,nr,nr,14,nr,17,nr,nr,15,17,14,nr,
01-07-2023,5,15,10,11,nr,17,nr,nr,nr,14,15,nr,14,14,14,18,nr,nr,nr,10,nr,nr,nr,18,17,nr,17,15,nr,12,17,nr,nr,17,nr,nr,14,nr,16,nr,nr,14,16,14,nr,
01-07-2023,6,14,11,11,nr,17,nr,nr,nr,14,16,nr,14,14,14,18,nr,nr,nr,10,nr,nr,nr,18,17,nr,17,15,nr,12,17,nr,nr,17,nr,nr,14,nr,16,nr,nr,14,16,14,nr,
01-07-2023,7,14,10,11,nr,17,nr,nr,nr,15,16,nr,14,14,15,18,nr,nr,nr,10,nr,nr,nr,18,17,nr,17,15,nr,12,17,nr,nr,16,nr,nr,14,nr,16,nr,nr,14,17,14,nr,
01-07-2023,8,15,11,11,nr,17,nr,nr,nr,16,17,nr,14,15,15,19,nr,nr,nr,11,nr,nr,nr,18,17,nr,17,16,nr,13,18,nr,nr,17,nr,nr,15,nr,16,nr,nr,15,17,15,nr,
01-07-2023,9,17,12,13,nr,18,nr,nr,nr,19,18,nr,15,16,17,20,nr,nr,nr,13,nr,nr,nr,20,18,nr,19,17,nr,17,19,nr,nr,18,nr,nr,16,nr,18,nr,nr,17,18,17,nr,
01-07-2023,10,19,14,15,nr,19,nr,nr,nr,20,20,nr,16,18,20,22,nr,nr,nr,13,nr,nr,nr,22,20,nr,20,18,nr,20,21,nr,nr,20,nr,nr,18,nr,19,nr,nr,18,20,19,nr,
01-07-2023,11,20,18,15,nr,21,nr,nr,nr,22,22,nr,18,20,23,24,nr,nr,nr,14,nr,nr,nr,23,22,nr,22,20,nr,20,22,nr,nr,21,nr,nr,20,nr,21,nr,nr,20,22,21,nr,
01-07-2023,12,22,19,16,nr,23,nr,nr,nr,23,22,nr,20,23,26,25,nr,nr,nr,14,nr,nr,nr,25,23,nr,23,21,nr,23,24,nr,nr,24,nr,nr,22,nr,23,nr,nr,22,24,22,nr,
01-07-2023,13,23,20,18,nr,24,nr,nr,nr,22,23,nr,21,25,26,26,nr,nr,nr,14,nr,nr,nr,26,25,nr,25,23,nr,23,25,nr,nr,25,nr,nr,23,nr,24,nr,nr,23,24,24,nr,
01-07-2023,14,25,19,16,nr,25,nr,nr,nr,20,21,nr,22,27,27,25,nr,nr,nr,16,nr,nr,nr,27,25,nr,23,24,nr,18,25,nr,nr,25,nr,nr,21,nr,25,nr,nr,23,23,27,nr,
01-07-2023,15,25,20,15,nr,25,nr,nr,nr,25,24,nr,22,27,28,27,nr,nr,nr,18,nr,nr,nr,27,26,nr,25,24,nr,23,27,nr,nr,27,nr,nr,20,nr,26,nr,nr,23,25,28,nr,
01-07-2023,16,20,22,17,nr,26,nr,nr,nr,23,25,nr,23,27,29,28,nr,nr,nr,16,nr,nr,nr,28,27,nr,26,24,nr,25,26,nr,nr,27,nr,nr,24,nr,26,nr,nr,24,26,29,nr,
01-07-2023,17,18,22,18,nr,25,nr,nr,nr,20,23,nr,21,27,22,22,nr,nr,nr,15,nr,nr,nr,25,25,nr,23,24,nr,22,19,nr,nr,20,nr,nr,23,nr,19,nr,nr,23,24,27,nr,
01-07-2023,18,19,17,16,nr,22,nr,nr,nr,19,23,nr,18,23,15,21,nr,nr,nr,13,nr,nr,nr,23,21,nr,22,21,nr,20,21,nr,nr,20,nr,nr,21,nr,19,nr,nr,22,23,22,nr,
01-07-2023,19,19,16,15,nr,22,nr,nr,nr,20,21,nr,19,22,17,22,nr,nr,nr,13,nr,nr,nr,23,22,nr,22,20,nr,19,21,nr,nr,20,nr,nr,20,nr,20,nr,nr,21,22,23,nr,
01-07-2023,20,17,14,15,nr,21,nr,nr,nr,17,20,nr,18,21,17,21,nr,nr,nr,12,nr,nr,nr,22,20,nr,21,20,nr,16,20,nr,nr,18,nr,nr,18,nr,19,nr,nr,20,21,21,nr,
01-07-2023,21,17,13,13,nr,20,nr,nr,nr,15,19,nr,16,20,15,20,nr,nr,nr,12,nr,nr,nr,21,18,nr,20,18,nr,14,19,nr,nr,17,nr,nr,16,nr,17,nr,nr,17,19,19,nr,
01-07-2023,22,17,11,12,nr,20,nr,nr,nr,15,18,nr,16,19,15,20,nr,nr,nr,12,nr,nr,nr,21,19,nr,19,18,nr,13,19,nr,nr,17,nr,nr,16,nr,18,nr,nr,17,19,19,nr,
01-07-2023,23,15,11,12,nr,19,nr,nr,nr,15,17,nr,16,18,15,20,nr,nr,nr,12,nr,nr,nr,20,18,nr,19,18,nr,13,18,nr,nr,18,nr,nr,15,nr,18,nr,nr,17,19,18,nr,
