Promedio horarios de o3Promedio horarios de o3
Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-10-2023,1,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2023,2,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2023,3,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2023,4,19,nr,14,20,nr,22,28,nr,nr,8,nr,nr,29,11,nr,24,30,nr,nr,nr,nr,nr,29,28,nr,17,20,nr,nr,16,29,nr,nr,nr,nr,24,nr,nr,23,nr,nr,23,28,17,nr,
01-10-2023,5,19,nr,18,16,nr,24,18,nr,nr,3,nr,nr,28,22,nr,25,30,nr,nr,nr,nr,nr,29,24,nr,22,25,nr,nr,20,26,nr,nr,nr,nr,24,nr,nr,16,nr,nr,31,29,20,nr,
01-10-2023,6,16,nr,16,13,nr,28,10,nr,nr,nr,nr,nr,26,19,nr,20,24,nr,nr,nr,nr,nr,31,12,nr,26,nr,nr,nr,20,23,nr,nr,nr,nr,23,nr,nr,17,nr,nr,22,21,25,nr,
01-10-2023,7,12,nr,18,11,nr,23,9,nr,nr,1,nr,nr,23,16,nr,19,24,nr,nr,nr,nr,nr,16,5,nr,22,12,nr,nr,13,16,nr,nr,nr,nr,22,nr,nr,11,nr,nr,19,9,11,nr,
01-10-2023,8,11,nr,20,16,nr,22,10,nr,nr,2,nr,nr,36,19,nr,17,15,nr,nr,nr,nr,nr,25,12,nr,22,13,nr,nr,16,17,nr,nr,nr,nr,21,nr,nr,18,nr,nr,8,10,13,nr,
01-10-2023,9,22,nr,28,28,nr,28,24,nr,nr,18,nr,nr,40,33,nr,23,24,nr,nr,17,nr,nr,26,15,nr,24,21,nr,nr,20,28,nr,nr,nr,nr,25,nr,nr,23,nr,nr,15,17,29,nr,
01-10-2023,10,36,nr,33,33,nr,36,36,nr,nr,33,nr,nr,42,38,nr,25,34,nr,nr,nr,nr,nr,30,19,nr,30,33,nr,nr,33,33,nr,nr,nr,nr,33,nr,nr,36,nr,nr,26,27,41,nr,
