Promedio horarios de no2Promedio horarios de no2
Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-11-2023,1,13,23,nr,nr,nr,25,31,23,nr,17,23,nr,17,8,17,11,16,32,nr,33,nr,nr,nr,30,25,nr,18,25,nr,21,11,nr,nr,nr,nr,25,nr,nr,21,26,nr,nr,28,17,24,
01-11-2023,2,10,27,nr,nr,nr,31,28,21,nr,22,22,nr,19,25,15,16,15,31,nr,29,nr,nr,nr,30,23,nr,nr,24,nr,19,21,nr,nr,nr,nr,21,nr,nr,19,20,nr,nr,19,16,22,
01-11-2023,3,9,25,nr,nr,nr,27,26,22,nr,15,21,nr,19,17,13,22,23,29,nr,23,nr,nr,nr,28,23,nr,22,20,nr,22,23,nr,nr,nr,nr,20,nr,nr,22,18,nr,nr,24,17,26,
01-11-2023,4,11,23,nr,nr,nr,26,25,26,nr,11,22,nr,16,7,12,21,22,23,nr,24,nr,nr,nr,24,22,nr,18,24,nr,24,18,nr,nr,nr,nr,20,nr,nr,23,19,nr,nr,20,11,27,
01-11-2023,5,12,23,nr,nr,nr,24,24,25,nr,14,20,nr,19,11,10,17,22,25,nr,23,nr,nr,nr,25,21,nr,nr,25,nr,19,16,nr,nr,nr,nr,19,nr,nr,22,22,nr,nr,20,12,26,
01-11-2023,6,17,21,nr,nr,nr,21,25,22,nr,12,18,nr,17,15,10,21,23,24,nr,23,nr,nr,nr,25,17,nr,18,20,nr,20,18,nr,nr,nr,nr,20,nr,nr,21,17,nr,nr,20,17,23,
01-11-2023,7,17,22,nr,nr,nr,22,24,16,nr,18,17,nr,18,20,12,20,23,25,nr,26,nr,nr,nr,25,nr,nr,nr,15,nr,19,18,nr,nr,nr,nr,20,nr,nr,26,14,nr,nr,22,15,22,
01-11-2023,8,18,20,nr,nr,nr,25,24,20,nr,15,18,nr,20,18,12,15,22,25,nr,24,nr,nr,nr,26,21,nr,15,20,nr,18,nr,nr,nr,nr,nr,17,nr,nr,23,18,nr,nr,20,15,25,
01-11-2023,9,12,20,nr,nr,nr,25,25,22,nr,11,18,nr,19,21,14,15,21,27,nr,23,nr,nr,nr,26,23,12,18,22,nr,19,20,nr,nr,nr,nr,15,nr,nr,28,20,nr,nr,19,12,24,
01-11-2023,10,11,21,nr,nr,nr,28,24,23,nr,11,19,nr,19,18,17,23,24,25,nr,26,nr,nr,nr,27,22,14,19,24,nr,22,23,nr,nr,nr,nr,18,nr,nr,23,21,nr,nr,24,12,26,
01-11-2023,11,11,25,nr,nr,nr,27,26,27,nr,13,20,nr,22,16,17,28,24,24,nr,29,nr,nr,nr,32,22,17,23,31,nr,26,23,nr,nr,nr,nr,22,nr,nr,19,22,nr,nr,29,14,29,
01-11-2023,12,11,32,nr,nr,nr,36,35,30,nr,13,21,nr,24,20,21,29,31,35,nr,40,nr,nr,nr,38,30,nr,23,34,nr,28,23,nr,nr,nr,nr,25,nr,nr,25,24,nr,nr,35,13,36,
